template_id,source_rank,company,ticker,sector,industry,primary_lane,lane_rank,matched_signal_categories,capital_flow_role,likely_funding_wrapper,source_availability,current_proof_level,denominator_need,next_document,safe_claim,do_not_claim,priority_status,packet_path,analysis_path
ACET-001-001,1,Kkr Co. Inc.,KKR,Financial,Asset Management,private_credit_direct_lending,1,private_credit_direct_lending; acquisition_finance; insurance_and_retirement_capital; capital_intensity_and_capex,private-credit platform or direct-lending source candidate,"manager funds, BDCs, private-credit vehicles, direct-lending programs",packet-analysis-and-source-pointers,lane-queue-candidate,"private-credit AUM/deployment, BDC schedules, borrower facility sizes, bank-credit lane denominators","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.","Kkr Co. Inc. is a private-credit platform or direct-lending source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Kkr Co. Inc.'s private_credit_direct_lending signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/financial/asset-management/kkr-co-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md
ACET-001-002,2,Apollo Global Management Inc.,APO,Financial,Asset Management,private_credit_direct_lending,2,private_credit_direct_lending; insurance_and_retirement_capital; acquisition_finance; capital_intensity_and_capex,private-credit platform or direct-lending source candidate,"manager funds, BDCs, private-credit vehicles, direct-lending programs",packet-analysis-and-source-pointers,lane-queue-candidate,"private-credit AUM/deployment, BDC schedules, borrower facility sizes, bank-credit lane denominators","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.","Apollo Global Management Inc. is a private-credit platform or direct-lending source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Apollo Global Management Inc.'s private_credit_direct_lending signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/financial/asset-management/apollo-global-management-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md
ACET-001-003,3,Ares Management Corporation,ARES,Financial,Asset Management,private_credit_direct_lending,3,private_credit_direct_lending; insurance_and_retirement_capital; acquisition_finance; capital_intensity_and_capex,private-credit platform or direct-lending source candidate,"manager funds, BDCs, private-credit vehicles, direct-lending programs",packet-analysis-and-source-pointers,lane-queue-candidate,"private-credit AUM/deployment, BDC schedules, borrower facility sizes, bank-credit lane denominators","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.","Ares Management Corporation is a private-credit platform or direct-lending source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Ares Management Corporation's private_credit_direct_lending signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/financial/asset-management/ares-management-corporation/company-packet.md,analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md
ACET-001-004,4,Oneok Inc.,OKE,Energy,Oil Gas Pipelines,power_grid_and_project_finance,1,power_grid_and_project_finance; debt_refinancing_and_facilities; capital_intensity_and_capex; acquisition_finance,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Oneok Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Oneok Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md,
ACET-001-005,5,Pbf Energy,PBF,Energy,Oil Gas Refining Marketing,debt_refinancing_and_facilities,1,debt_refinancing_and_facilities; power_grid_and_project_finance; asset_backed_and_securitization; capital_intensity_and_capex,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Pbf Energy is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Pbf Energy's debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/oil-gas-refining-marketing/pbf-energy/company-packet.md,
ACET-001-006,6,Mastec Inc.,`MTZ`,Industrial Goods,Engineering Construction,power_grid_and_project_finance,2,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Mastec Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Mastec Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md,
ACET-001-007,7,Plains All American Pipeline Lp,PAA,Energy,Oil Gas Pipelines,power_grid_and_project_finance,3,power_grid_and_project_finance; debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Plains All American Pipeline Lp is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Plains All American Pipeline Lp's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md,
ACET-001-008,8,Targa Resources Corp.,TRGP,Energy,Oil Gas Pipelines,power_grid_and_project_finance,4,power_grid_and_project_finance; debt_refinancing_and_facilities; asset_backed_and_securitization; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Targa Resources Corp. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Targa Resources Corp.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md,
ACET-001-009,9,Nextera Energy Inc.,NEE,Utilities,Electric Utilities,power_grid_and_project_finance,5,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Nextera Energy Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Nextera Energy Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md,analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md
ACET-001-010,10,Vistra Energy Corp.,VST,Utilities,Other Utilities,power_grid_and_project_finance,6,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Vistra Energy Corp. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Vistra Energy Corp.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/utilities/other-utilities/vistra-energy-corp/company-packet.md,analysis/company-first-principles/utilities/other-utilities/vistra-energy-corp/company-analysis.md
