"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARCOVRE-001","Costco Wholesale Corporation","COST","FY2025","net sales","269.9","USD billions","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","Costco's value-access model operates at mass consumer scale.","Net sales do not prove membership quality by themselves.","retail-scale-visible"
"ARCOVRE-002","Costco Wholesale Corporation","COST","FY2025","net sales growth","8.1","percent","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","The warehouse model kept growing in the annual period.","Growth can come from price, traffic, new units, mix, or fuel; it needs decomposition before stronger consumer claims.","retail-growth-visible"
"ARCOVRE-003","Costco Wholesale Corporation","COST","FY2025","total revenue","275.235","USD billions","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","Merchandise sales plus membership fees create a very large consumer-facing revenue base.","Total revenue does not show product-level margin or household affordability by category.","revenue-scale-visible"
"ARCOVRE-004","Costco Wholesale Corporation","COST","FY2025","membership fees","5.323","USD billions","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; recurring-consumer-interfaces-and-membership-systems-initial-theme-memo.md; loyalty-currencies-partner-monetization-and-deferred-revenue-initial-theme-memo.md","Customers pay for access before buying the next basket, making membership a direct economic layer.","Membership fees do not prove unlimited pricing power or that every member is equally engaged.","membership-cash-layer-visible"
"ARCOVRE-005","Costco Wholesale Corporation","COST","FY2025","net income","8.099","USD billions","selective-consumer-proof-2026-08-10.md; access-instead-of-ownership-comparison-2026-08-11.md","Costco's model converted very large revenue into profit in the annual period.","Net income is company-level profit, not basket-level cash proof or category-level return.","profit-visible"
"ARCOVRE-006","Costco Wholesale Corporation","COST","Q3 2026","net sales","69.15","USD billions","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","The value-access engine remained active in a current quarterly period.","Quarterly sales do not isolate traffic from price, new warehouses, gasoline, or currency.","current-sales-visible"
"ARCOVRE-007","Costco Wholesale Corporation","COST","Q3 2026","net sales growth","11.6","percent","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","Current sales growth supports Costco as a live value-retail example, not only a historical one.","High growth still needs margin, renewal, and traffic support before a durability claim.","current-growth-visible"
"ARCOVRE-008","Costco Wholesale Corporation","COST","Q3 2026","total company comparable sales","9.8","percent","paid-relationship-and-habit-loop-comparison-2026-08-11.md","Existing-store/channel momentum was visible, not only new-unit expansion.","Comparable sales can be affected by inflation, fuel, currency, and mix.","comps-visible"
"ARCOVRE-009","Costco Wholesale Corporation","COST","Q3 2026","adjusted comparable sales","6.6","percent","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","Adjusted comps give a cleaner read that member shopping behavior was still healthy.","Adjusted comps still do not prove renewal quality or category-level unit volume.","adjusted-comps-visible"
"ARCOVRE-010","Costco Wholesale Corporation","COST","Q3 2026","digitally enabled comparable sales growth","21.5","percent","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; selective-consumer-proof-2026-08-10.md","Digital convenience is attaching to the membership/warehouse model instead of replacing it.","Digital growth can cannibalize warehouse economics or carry lower margin if fulfillment cost is high.","digital-convenience-visible"
"ARCOVRE-011","Costco Wholesale Corporation","COST","2025-2026 synthesis","customer mechanism","paid access to trusted value","plain-language finding","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; paid-relationship-and-habit-loop-comparison-2026-08-11.md","The customer pays upfront because the retailer has earned trust that the next basket will be good value.","Trust can break if value gap narrows, renewal slows, or promotional pressure rises.","value-trust-visible"
"ARCOVRE-012","Costco Wholesale Corporation","COST","2025-2026 synthesis","business mechanism","membership fee plus high-volume merchandise throughput","plain-language finding","services/discount-variety-stores/costco-wholesale-corp/company-analysis.md; recurring-consumer-interfaces-and-membership-systems-initial-theme-memo.md","Costco gets paid twice: direct access fees and merchandise economics supported by traffic and volume.","The model still depends on physical execution, inventory discipline, supplier terms, and consumer value perception.","membership-retail-loop-visible"
