status_id,question_id,meta_question,answer_state,decision_usefulness,answer_we_have,not_answered_yet,highest_evidence_level,main_supporting_artifacts,next_action,ready_for_external_use,external_use_language,priority
CFMQS-001,CFMQ-001,Where is capital actually flowing?,answered-intermediate,high,"Capital is visibly flowing into named borrowers, energy and grid assets, fleet/collateral pools, backlog execution, acquisition finance, and sponsor-backed operating platforms.","Exact split between productive capacity, acquisition, refinancing, liquidity, and control transfer remains incomplete.",Level 4 holder/dollar/source-table evidence,"capital-flow-use-of-proceeds-classification-pass-1.md; capital-flow-ares-borrower-holder-expansion-pass-1.md; capital-flow-capital-intensive-project-funding-map-pass-1.md","Use the answer-resolution queue to classify source rows by use and operating conversion.",yes-bounded,"Capital is reaching identifiable real-economy borrowers, assets, and operating systems through distinct financial wrappers.",high
CFMQS-002,CFMQ-002,Who is the source of capital?,partial-answer,medium-high,"Visible source wrappers include BDCs, insurers, retirement-linked platforms, public debt investors, ABL/AR lenders, private-credit funds, and bank facilities.","Ultimate investor or liability source is not yet tied to most named borrower rows in the same period.",Level 3 to Level 4 vehicle/source-wrapper evidence,"capital-flow-capital-source-to-vehicle-bridge-pass-1.md; capital-flow-vehicle-taxonomy.csv; capital-flow-detailed-answer-proof-tasks-pass-1.csv","Decompose public BDC and non-traded/private-credit vehicle funding stacks.",yes-with-caveat,"The visible wrapper is known in many cases; ultimate source allocation remains a separate proof step.",high
CFMQS-003,CFMQ-003,What vehicle carries the capital?,mostly-answered-for-visible-holder-layer,high,"The Ares borrower expansion classifies holder/source vehicles across BDCs, non-traded/private-credit funds, registered funds, private funds, direct-lending programs, and transaction-context sources.","Vehicle liability stack and investor base remain incomplete for several vehicles.",Level 4 holder/source-taxonomy evidence,"capital-flow-ares-borrower-holder-expansion-pass-1.md; capital-flow-vehicle-taxonomy.csv; capital-flow-capital-source-to-vehicle-bridge-pass-1.md","Build vehicle capital-stack decomposition rows for recurring holders.",yes-bounded,"Visible holder vehicles can be classified; their ultimate funding stacks still need decomposition.",medium-high
CFMQS-004,CFMQ-004,What does the capital fund in the real economy?,answered-intermediate,high,"Use-of-proceeds evidence separates acquisition finance, bank-credit repayment/termination, sponsor buyout competition, continued growth, M&A strategy support, incremental commitments, and transaction-only leads.","Organic capex, capacity buildout, refinancing, rescue, dividends, and working-capital uses are not fully separated for every borrower.",Level 3 to Level 5 mixed use-of-proceeds evidence,"capital-flow-use-of-proceeds-classification-pass-1.md; capital-flow-bank-role-after-private-credit-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md","Work CFARQ-001 through CFARQ-008 for borrower-specific use upgrades.",yes-bounded,"Private-credit borrower flows are mixed; acquisition and consolidation finance are visible, while organic capex is not the default conclusion.",high
CFMQS-005,CFMQ-005,Does the capital convert into output?,partial-answer,medium,"URI, Sterling, ET, LNG, power/grid, and selected project lanes have partial output evidence through OEC, fleet productivity, backlog, cash conversion, dockets, tariffs, ESAs, cargo/export, and project evidence.","Durable repeated-period output and direct linkage from financing to output are incomplete.",Level 3 to Level 4 operating/source-table evidence,"capital-flow-cross-theme-claim-status-dashboard.md; capital-flow-capital-intensive-project-funding-map-pass-1.md; capital-flow-promoted-claims-and-overclaims-pass-1.md","Build operating-conversion scorecards for URI, Sterling, ET, LNG, and grid/power lanes.",internal-mostly,"Some lanes show output conversion signals, but capex/backlog/funding should not be treated as output without conversion metrics.",high
CFMQS-006,CFMQ-006,Is private credit replacing banks or sitting beside them?,partial-answer-high-value,high,"Auctane/Stamps.com supports a strong selected bank-facility termination case; Medallia is strong but incomplete; Atwell is a live unresolved test; broad bank displacement is not proven.","Post-close bank roles, lane-level denominators, and repeated borrower takeout cases remain incomplete.",Level 5 isolated case plus Level 2 to Level 4 broader evidence,"capital-flow-bank-role-after-private-credit-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md; capital-flow-promoted-claims-and-overclaims-pass-1.md","Resolve CFARQ-001 through CFARQ-004 before using broader bank-displacement language.",yes-very-bounded,"Specific bank-facility takeout can be proven in selected cases; broad bank replacement remains unproven.",high
CFMQS-007,CFMQ-007,Is evidence borrower-specific or only platform-scale?,answered-methodologically,high,"The system now separates platform-scale disclosures from borrower-specific holder schedules and crosswalks.","Platform pools still cannot be allocated to named borrowers without same-period vehicle and facility bridges.",Level 4 methodology and holder evidence,"capital-flow-meta-question-answer-matrix.md; capital-flow-detailed-answer-proof-tasks-pass-1.csv; capital-flow-ares-borrower-holder-expansion-pass-1.md","Keep platform metrics and borrower rows separate unless source documents allow a direct bridge.",yes,"Platform scale and borrower exposure are different evidence levels and should not be collapsed.",medium-high
CFMQS-008,CFMQ-008,Can false aggregation be avoided?,answered-control-built,high,"The Ares lane separates row-level audit sums, master-rollup promoted totals, and a 9-row same-period borrower control.","The same control still needs to be enforced across future lanes and external writing.",Level 4 generated control evidence,"capital-flow-ares-borrower-same-period-exposure-summary-pass-1.csv; capital-flow-master-borrower-exposure-rollup.md; capital-flow-promoted-claims-and-overclaims-pass-1.md","Create a reusable aggregation-control standard before scaling the method.",yes,"Use audit sums for coverage, same-period summaries for snapshots, and master rollups for promoted totals.",medium-high
CFMQS-009,CFMQ-009,What are the limits of every claim?,answered-control-built,high,"The promoted-claims system names safe claims and forbidden overclaims for AUM, facility size, transaction value, commitments, bank replacement, output conversion, and durability.","Newer answer-resolution outcomes still need to be folded into publication-ready language as evidence changes.",Level 4 claim-governance evidence,"capital-flow-promoted-claims-and-overclaims-pass-1.md; capital-flow-cross-theme-claim-status-dashboard.md; capital-flow-detailed-answers-open-questions-pass-1.md","Build publication-ready claim register from queue outcomes.",yes,"The strongest current claims are usable only with explicit boundaries around what the evidence does not prove.",medium-high
CFMQS-010,CFMQ-010,Can this scale across the 519-company universe?,template-grade-system-built,"medium-high for process","The generated all-company extraction template assigns lane, capital-flow role, likely funding wrapper, source availability, current proof level, denominator need, next document, safe claim, and do-not-claim boundary to every company.","Lane-specific primary-source extraction has not yet upgraded the template rows into empirical proof.",Level 3 process-scale evidence,"capital-flow-all-company-triage.md; capital-flow-lane-candidate-queues.md; capital-flow-all-company-scale-up-operating-model.md; capital-flow-all-company-extraction-template-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md","Run lane-specific extraction batches from the template and refresh proof levels after primary-source passes.","yes, bounded process","The scale process is now template-grade, but the case-study pattern is not yet source-proven or representative across all 519 companies.",medium-high
