wrapup_id,section,plain_english_point,detailed_takeaway,key_examples,evidence_strength,what_it_supports,what_it_does_not_support,writing_use,status
ARCWS-001,Final thesis,Annual reports are maps of bottlenecks.,"Read together, the annual reports show where money, power, labor, inventory, care, infrastructure, digital trust, and consumer confidence are getting stuck. The strongest companies in this package are not just selling goods or services; they organize scarce functions that other people and institutions struggle to handle alone.","Power, capital platforms, industrial uptime, healthcare access, built-environment upkeep, digital control, value retail",strong-synthesis-ready,"A broad essay about economic bottlenecks and burden transfer","A stock recommendation or full proof that every company earns durable returns","Use as opening thesis",wrapped
ARCWS-002,Power scarcity,Power is becoming a gatekeeper for growth.,"Electricity demand matters only when it can become generated, transmitted, delivered, contracted, financed, approved, billed, and recovered. The power chapter is the strongest opening because it connects AI/data-center demand to hard infrastructure, customer obligations, utility capital plans, regulatory recovery, contractors, suppliers, and cash-proof limits.","Constellation, Vistra, NRG, Exelon, Duke, AEP, NextEra/FPL, Sterling, MasTec",strong-theme-and-route-visible,"A claim that power scarcity is a real operating and capital bottleneck","A claim that all load has been billed, collected, recovered, or converted into project returns","Use as first major chapter",wrapped
ARCWS-003,Capital platforms,Big asset managers are money-routing systems.,"BlackRock, Blackstone, Apollo/Athene, KKR/Global Atlantic, Brookfield, Ares, and Carlyle matter because they connect savings pools, insurance liabilities, wealth clients, institutions, credit funds, BDCs, private funds, infrastructure vehicles, and legal entities to assets and borrowers. The right question is not how large AUM is; it is where the money goes and what cash comes back.","BlackRock, Blackstone, Apollo/Athene, KKR/Global Atlantic, Brookfield, Ares, Carlyle",strong-platform-map-with-named-cash-holds,"A bounded claim that capital platforms route money into assets, borrowers, credit, insurance portfolios, and infrastructure","A claim that AUM proves borrower receipts, waterfalls, or realized asset returns","Use as financing chapter and proof discipline anchor",wrapped
ARCWS-004,Industrial uptime,Physical work depends on hidden access systems.,"Factories, contractors, utilities, data-center builders, HVAC technicians, and maintenance teams need equipment, parts, branches, technical support, and project execution. Industrial uptime companies are paid because work stops when these things fail.","United Rentals, Fastenal, WESCO, Grainger, Applied Industrial, MSC Industrial, Watsco, Sterling, MasTec",strong-operating-theme-visible,"A claim that industrial access and uptime are real operating bottlenecks","A claim that sales, branch count, fleet value, or backlog proves cash collection or ROIC","Use as operating execution chapter",wrapped
ARCWS-005,Healthcare access,Demand is obvious; organized access is scarce.,"Healthcare is not scarce because people lack need. It is scarce because access, reimbursement, provider capacity, pharmacy routing, labor, authorizations, claims, home care, and trust are hard to coordinate. Healthcare companies are paid when they turn that complexity into an operating system.","UnitedHealth, Cigna, DaVita, Option Care, Addus, BrightSpring, Enhabit",theme-ready-cash-proof-thin,"A reader-friendly claim about healthcare access as burden-transfer infrastructure","A claim that scale proves quality, trust, reimbursement strength, or cash collection","Use as human-centered chapter with explicit proof caveats",wrapped
ARCWS-006,Built-environment upkeep,"Housing and infrastructure are upkeep systems, not one housing cycle.","Expensive shelter and aging civic assets shift spending toward repair, replacement, waterworks, coatings, Pro channels, builder productivity, materials, HVAC, plumbing, and contractor workflows. This theme is stronger when split into sub-lanes rather than treated as a generic housing bet.","Home Depot, Lowe's, Builders FirstSource, Sherwin-Williams, West Fraser, Ferguson, Core & Main",theme-ready-with-segmentation-boundary,"A claim that upkeep, repair, replacement, and civic systems create durable demand channels","A claim that all housing exposure has the same economics or that project returns are proven","Use as built-environment chapter",wrapped
ARCWS-007,Digital control,Digital growth creates permission and trust bottlenecks.,"As activity moves online and AI grows, someone has to route traffic, block threats, verify users, govern participation, secure workloads, execute code, and manage digital infrastructure. The theme is not generic software growth; it is control over digital bottlenecks.","Cloudflare, Akamai, Fastly, Zscaler, Fortinet, DigitalOcean, Roblox",theme-ready-return-proof-thin,"A claim that digital control points matter as online activity grows","A claim that ARR, RPO, traffic, bookings, or users prove durable operating leverage","Use as digital control chapter with metrics boundary",wrapped
ARCWS-008,Value retail,Pressured consumers split the wallet by job.,"Households under pressure do not simply trade down. They choose formats that reduce different kinds of regret: price regret, time regret, access regret, quality regret, status regret, missed-deal regret, and convenience regret.","Costco, Walmart, Target, Dollar General, Dollar Tree, Burlington, Ollie's",reader-ready-theme-with-cash-boundary,"A claim that value retail is about consumer jobs and regret management","A claim that traffic, comps, membership, or gross margin proves durable cohort quality","Use as consumer-facing chapter",wrapped
ARCWS-009,Working capital proof box,Growth only matters if it becomes cash.,"Revenue can grow while cash gets trapped in receivables, inventory, reserves, supplier finance, or poor margin quality. The working-capital box is the discipline that stops the article from equating growth with economic value.","Target, Zebra, MSC Industrial, Global Industrial, Pool, Core Main, Arrow, Synchrony",proof-box-ready,"A method for evaluating whether growth is cash-realizing or cash-consuming","A claim that the current article has completed all receivable and inventory proof","Use as proof box and reader method",wrapped
ARCWS-010,Acquisition and backlog proof box,Bought scale and backlog must convert.,"Acquisitions, rollups, and backlog sound strong until they are tested against funding source, purchase accounting, backlog burn, cancellation terms, retainage, margin, collections, and debt service. Backlog is not cash.","Sterling, MasTec, URI/Yak, Core Main, Relation, MAI, Frontline, Atwell",proof-box-ready-with-selected-proxies,"A method for testing whether bought scale converts after close","A claim that transaction size or backlog proves value creation","Use as proof box and overclaim guardrail",wrapped
ARCWS-011,Refinancing proof box,Refinancing can help or merely move risk forward.,"A refinancing is a clean money-movement event because new cash pays off old obligations. But value depends on fees, tax, coupon change, maturity extension, liquidity, covenant cushion, settlement mechanics, and NPV, not just principal raised or redeemed.","PBF, Matador, Devon, Liberty Broadband, Verizon, Wheaton",mechanically-visible-with-return-boundary,"A method for separating liquidity relief from value creation","A claim that refinancing automatically improves economics","Use as proof box and capital-stack discipline",wrapped
ARCWS-012,Named cash proof boundary,Full proof needs the whole chain.,"The hard proof standard remains: source of money, wrapper, destination, use, output, cash receipt, legal claim, waterfall, and return. Most themes are article-ready before they are full named-cash-proof-ready.","FPL, Apollo/Athene, KKR/Global Atlantic, Ares/Frontline, URI, Sterling, MasTec, Cheniere",proof-standard-defined,"A clear boundary between synthesis writing and proof-complete claims","A claim that the broad article proves every dollar end to end","Use as final caveat and future-work appendix",wrapped
