audit_id,claim_area,explicit_claim_or_metric,current_support,current_decision,why_this_is_safe_or_not,remaining_public_work,unsafe_use,status,release_state
ARISMA-001,corpus_count,519 company folder,Project control artifacts and ledger references support the corpus frame,keep_with_method_note,This is a project-scope number rather than an operating metric from a company filing,Keep source note that this means packets/triage corpus not equal deep proof of every company,Do not claim every company has deep named-cash analysis,passed,public-draft
ARISMA-002,theme_count,15 article-ready themes,Final integrated theme map and current article table support the count,keep,The article visibly lists 15 themes in the complete map,No further citation needed beyond internal map/source note,Do not claim the 15 themes are exhaustive laws of the economy,passed,public-draft
ARISMA-003,theme_split,7 core themes and 8 expansion themes,Final integrated theme map and article table support the split,keep,The article visibly separates core and expansion rows,No further citation needed beyond internal map/source note,Do not claim equal depth of evidence for every theme,passed,public-draft
ARISMA-004,source_anchor_count,16 source-anchor blocks,Direct text count in integrated draft,keep_as_internal_control,This is an article-control count: 15 themes plus proof rule,No public citation needed; keep out of final prose unless useful as method note,Do not treat blocks as sentence-level footnotes,passed,internal-control
ARISMA-005,company_source_examples,named company examples across sections,Section-level public source anchors now exist for each theme,keep_with_citation_formatting,Representative filings support the existence and operating context of company examples,Convert source-anchor lists into final citation style,Do not imply every named company claim has exact metric footnotes yet,passed-with-boundary,public-hardening
ARISMA-006,public_filing_labels,FY2025 Q2 2026 Form 10-K Form 10-Q Form 20-F labels,Attached public source anchors carry period and filing labels,keep_with_final_link_check,These labels are attached to source-anchor entries rather than unsupported metric claims,Recheck links before public release and replace any unstable IR pages where practical,Do not cite a filing label as proof of a claim not in that filing,passed-with-boundary,public-hardening
ARISMA-007,qualitative_thesis_claims,pressure points gatekeeper systems money-routing access upkeep digital control value retail,Internal synthesis plus section-level source anchors,keep_as_synthesis,These are interpretive synthesis claims and are framed as such,Keep wording as interpretation and avoid universal-law phrasing,Do not present synthesis as audited empirical proof,passed-with-boundary,public-draft
ARISMA-008,named_metric_claims,no large company operating metrics remain in the integrated article prose aside from structural counts,Article scan for numbers and currency terms,passed,The draft avoids heavy metric sentences and instead uses source anchors,If adding metrics later attach sentence-level citations,Do not add uncited revenue EBITDA backlog AUM ARR or capex metrics,passed,public-draft
ARISMA-009,cash_proof_claims,receipts billing settlement borrower use legal-entity schedules collateral certificates debt waterfalls return models,Proof-rule section and named-cash boundary support the standard,keep,The article states proof requirements without claiming they have been met,No further citation needed unless applying to a specific transaction,Do not claim exact source-to-return proof without appendix evidence,passed,public-draft
ARISMA-010,investment_advice_risk,not a stock recommendation legal accounting or investment advice,Final audit and proof boundary,keep,The article is framed as economic interpretation and research synthesis,Keep this boundary in final formatting,Do not add buy sell ranking or valuation language,passed,public-draft
ARISMA-011,remaining_blocker,final publication still needs citation formatting and link check,Handoff and citation readiness audit support blocker state,keep_as_handoff,This is the accurate remaining work after section anchors and metric audit,Run final formatting and link-verification pass before external publication,Do not call the draft fully public-release final yet,open,public-blocker
ARISMA-012,stop_condition,section-anchor cited plus sentence-metric audited public draft,This audit plus previous citation passes,stop_point_reached_for_research_package,The article is now internally reader-ready section-anchor cited and metric-risk audited,Only final formatting/link verification remains for public release,Do not restart broad theme discovery unless the goal changes,passed,public-draft-not-final-formatted
