"goal_id","workstream","question_answered","required_output","first_targets","proof_standard","current_status","next_action"
"CFBME2E-001","big-money-player map","Who controls or routes the major pools of capital?","Table covering BlackRock Blackstone Apollo/Athene KKR/Global Atlantic Brookfield Ares Carlyle and comparison channels","BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle","Identify money source wrapper destination lane named examples proof level and missing proof","goal-defined","Build the big-money-player map and connect each platform to lanes and named proof chases"
"CFBME2E-002","money source classification","Where does the money originate?","Source taxonomy for ETF buyers institutions retirement savers insurance liabilities sovereigns wealth clients BDC investors public debt buyers and banks","All major routers","Separate ultimate source from platform AUM and vehicle holder rows","goal-defined","Create source taxonomy rows per platform"
"CFBME2E-003","wrapper classification","What financial wrapper carries the money?","Wrapper map for ETFs private credit infrastructure equity insurance assets ABF ABL BDCs real estate secondaries PE and bank facilities","All major routers","Classify the wrapper before making source/use claims","goal-defined","Map wrappers to each platform and lane"
"CFBME2E-004","destination lane map","Where does the money land in the real economy?","Destination map across power grid data centers LNG fleet construction healthcare industrial distribution housing private-company rollups and refinancing","Power/grid; private credit; insurance; infrastructure; fleet; refinancing","Tie destination to named borrower company project asset fleet collateral pool or legal entity","goal-defined","Create lane map with strongest named examples"
"CFBME2E-005","named proof case ranking","Which examples are best for proving the cash loop?","Ranked proof cases with current evidence and missing decisive documents","Wheaton/BHP Antamina; FPL; PBF; URI; Ares/Frontline; Cheniere; insurance statutory cases","Rank by proximity to source-use-receipt-payback-return proof","partially-built","Refresh ranking after big-money map is created"
"CFBME2E-006","receipts and billing proof","Did customers or ratepayers pay cash tied to the named program?","FPL receipt package request and extraction tracker","FPL Distribution Inspection","Billing determinants billed cash collected cash category allocation ledger","missing-controlled-documents","Build FPL records/POD/discovery checklist"
"CFBME2E-007","settlement proof","Did contractual deliveries settle into units and cash?","Antamina PMPA settlement ledger request and extraction tracker","Wheaton/BHP Antamina","PMPA-only deliveries invoices realized price and cash settlement","missing-controlled-documents","Pursue PMPA-only delivery and settlement support"
"CFBME2E-008","waterfall/payback proof","How do capital providers get paid back?","Debt waterfall and lender/trustee request tracker","Wheaton Antamina; PBF; Cheniere","Lender allocation trustee report paying-agent settlement DSCR waterfall","missing-controlled-documents","Build lender/trustee request checklist"
"CFBME2E-009","legal-entity proof","Where are assets liabilities income and obligations booked?","Legal-entity statutory schedule tracker","Apollo/Athene; KKR/Global Atlantic","Schedule D/BA investment income NAIC designations liability-cost spread","missing-controlled-documents","Acquire statutory filing route and extraction plan"
"CFBME2E-010","collateral proof","Was collateral legally available?","Collateral certificate tracker","United Rentals","Borrowing-base certificate eligible collateral NOLV reserves L/C schedule","missing-controlled-documents","Build URI certificate request checklist"
"CFBME2E-011","return proof","Was the investment paid back or value-accretive?","Return model tracker","Wheaton; FPL; URI; PBF","IRR NPV ROIC earned return payback after tax financing and duration","proxy-only","Define return-model source requirements by case"
"CFBME2E-012","safe conclusion package","What can we safely say?","Board-level evidence package with map bridge proof claims and do-not-say register","All major routers and top named cases","Separate map claims bridge claims and full proof claims","goal-defined","Build final big-money-player map then update safe claims"
