"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARBLCPE-001","BlackRock, Inc.","BLK","FY2025","assets under management","14.0","USD trillions","financial/asset-management/blackrock-inc/company-analysis.md; financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","BlackRock is a global-scale capital-routing platform, not a small specialist manager.","AUM is not borrower receipt, asset use, or final cash return.","platform-scale-visible"
"ARBLCPE-002","BlackRock, Inc.","BLK","FY2025","record net inflows","698","USD billions","financial/asset-management/blackrock-inc/company-analysis.md; financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","Client money was still entering the platform at very large scale in the annual period.","Net inflows do not show which final assets or borrowers received capital.","platform-flow-visible"
"ARBLCPE-003","BlackRock, Inc.","BLK","FY2025","total revenue","24.216","USD billions","financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","The platform converts asset management, technology, data, and related services into revenue.","Total revenue does not separate product-level economics or named private-credit returns.","platform-economics-visible"
"ARBLCPE-004","BlackRock, Inc.","BLK","FY2025","adjusted operating margin","44.1","percent","financial/asset-management/blackrock-inc/company-analysis.md; financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","Scale and platform mix translated into high-margin operating economics.","Adjusted margin is not proof that HPS or Preqin integration will create durable incremental return.","platform-economics-visible"
"ARBLCPE-005","BlackRock, Inc.","BLK","FY2025","technology services and subscription revenue","1.981","USD billions","financial/asset-management/blackrock-inc/company-analysis.md; financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","BlackRock monetizes portfolio workflow and data, not only fund management fees.","Technology revenue does not prove client lock-in by itself or named asset performance.","workflow-revenue-visible"
"ARBLCPE-006","BlackRock, Inc.","BLK","FY2025","HPS client AUM added","165","USD billions","financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","HPS adds a private-credit route inside BlackRock's broader platform.","Acquired HPS AUM does not prove fresh origination, borrower use of proceeds, or cash return.","private-credit-channel-visible"
"ARBLCPE-007","BlackRock, Inc.","BLK","FY2025","HPS fee-paying AUM added","118","USD billions","financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md","A large portion of the HPS route is monetizable fee-paying capital.","Fee-paying AUM is still a management-fee base, not proof of borrower repayment or collateral performance.","private-credit-fee-base-visible"
"ARBLCPE-008","BlackRock, Inc.","BLK","Q2 2026","assets under management","15.3","USD trillions","financial/asset-management/blackrock-inc/company-analysis.md; financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md; outsourced-judgment-and-benchmark-authority-comparison-2026-08-11.md","The platform continued scaling after FY2025 and remained a live current example for the capital-platform theme.","Quarterly AUM can be affected by markets as well as flows; it is not named-cash proof.","platform-scale-visible"
"ARBLCPE-009","BlackRock, Inc.","BLK","Q2 2026","second-quarter net inflows","192","USD billions","financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md; outsourced-judgment-and-benchmark-authority-comparison-2026-08-11.md","Current-period client capital continued moving into BlackRock's platform.","Quarterly inflows do not identify final destination assets without product and vehicle schedules.","platform-flow-visible"
"ARBLCPE-010","BlackRock, Inc.","BLK","H1 2026","record first-half net inflows","321","USD billions","financial/asset-management/blackrock-inc/company-analysis.md; trends-coding/codes_corpus.txt","BlackRock remained an active gatherer of client capital across the first half of 2026.","First-half flow scale does not prove durable fee rates or private-market asset returns.","platform-flow-visible"
"ARBLCPE-011","BlackRock, Inc.","BLK","Q2 2026","adjusted operating margin","45.9","percent","financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md; trends-coding/codes_corpus.txt","The operating model showed high margin while AUM and flows scaled.","Adjusted margin is not a legal-entity cash waterfall or product-level return model.","platform-economics-visible"
"ARBLCPE-012","BlackRock, Inc.","BLK","2025-2026 synthesis","Preqin acquisition / private-markets data layer","visible","financial/asset-management/blackrock-inc/company-analysis.md; trends-coding/codes_corpus.txt","BlackRock's platform thesis includes data and workflow ownership around private markets.","Acquisition rationale is not proof that the data layer produces durable cash or better investment outcomes.","workflow-data-layer-visible"
