bridge_id,layer,metric_or_status,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFCTSR-001","company cash baseline","Revenue","FY 2025","19.98","B USD","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Cheniere has a large annual LNG revenue base beneath the Q2 2026 update.","Revenue is not train-level return or contract-margin proof.","Revenue by terminal/entity and contract type."
"CFCTSR-002","company cash baseline","Distributable cash flow","FY 2025","5.29","B USD","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","The LNG platform generated substantial cash available for capital allocation.","DCF is not project EBITDA, debt-service coverage, or train-level cash return.","Entity cash-flow waterfall and debt-service schedule."
"CFCTSR-003","physical output","Company-reported LNG cargoes","FY 2025","670","cargoes","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Company cargo output is visible at annual scale.","Cargo count is not train-level attribution or pricing proof.","Terminal/train cargo attribution and destination map."
"CFCTSR-004","physical output","DOE Sabine Pass plus Corpus Christi vessel rows","FY 2025","674","cargoes","capital-flow-capital-intensive-energy-project-denominator-pass-1.md","external-government-denominator","DOE vessel rows closely reconcile to Cheniere's reported FY cargoes.","DOE rows do not prove Cheniere revenue recognition or train-level economics.","Cargo-level reconciliation by vessel, date, terminal, destination, and docket."
"CFCTSR-005","physical output","Company-reported LNG cargoes","Q2 2026","184","cargoes","capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md","company-source-table","Cheniere's latest quarterly cargo output is visible.","Cargo count alone does not prove margin or debt service.","Q2 cargo-by-terminal and contract-type bridge."
"CFCTSR-006","physical output","DOE Sabine Pass plus Corpus Christi vessel rows","Q2 2026","184","cargoes","capital-flow-capital-intensive-energy-project-denominator-pass-1.md","external-government-denominator","DOE vessel rows exactly match Cheniere's Q2 2026 cargo count.","The match still does not identify which train produced each cargo.","FERC train status and DOE cargo date matching."
"CFCTSR-007","physical volume","DOE Sabine Pass plus Corpus Christi vessel export volume","Q2 2026","640991.63","MMCF","capital-flow-capital-intensive-energy-project-denominator-pass-1.md","external-government-denominator","The cargo bridge has a physical volume denominator, not only a vessel count.","MMCF is not the same reporting unit as company TBtu without conversion controls.","TBtu-to-MMCF heat-content bridge."
"CFCTSR-008","contracted demand","Anticipated SPL/CCL production contracted","FY 2025","90","percent","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-filing-extraction","Most anticipated production is covered by SPAs and IPM agreements.","The public row does not disclose all pricing, credit support, or cancellation terms.","SPA summaries, customer concentration, and take-or-pay/capacity-fee language."
"CFCTSR-009","contracted demand","Weighted-average remaining SPA/IPM life","FY 2025","15","years","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-filing-extraction","The demand signal is long-duration rather than spot-only.","Duration does not prove price level, margin, or counterparty credit quality.","Customer contract schedule by entity and tenor."
"CFCTSR-010","contracted demand","CPC Corporation Taiwan SPA","2026-2050","1.2","mtpa","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Named long-term customer demand is visible.","The public evidence does not disclose full SPA economics or debt-coverage contribution.","SPA announcement, contract summary, and customer credit support."
"CFCTSR-011","construction/use of capital","Expected total liquefaction capacity","FY 2025","60+","mtpa","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Cheniere's capital program sits inside a large liquefaction platform.","Expected capacity is not the same as completed or fully utilized capacity.","FERC terminal and train operating status."
