source_note_id,theme,citation_priority,local_anchor_status,representative_local_anchors,public_source_need,usable_now,missing_before_publication,proof_boundary,status
ARSNA-001,Opening thesis and 15-theme map,1,local-synthesis-ready,"annual-report-integrated-final-publication-draft-pass-1.md; annual-report-final-integrated-theme-map-pass-1.md; annual-report-all-sector-theme-coverage-review-pass-1.md","Public method note explaining synthesis scope and 519-company packet basis.",yes,"Public-facing method/source note.",The map is synthesis not complete deep proof of every company.,ready-with-refresh-gap
ARSNA-002,Power scarcity,1,strong-local-evidence,"capital-flow power-grid artifacts; FPL PSC source packets; annual-report power scarcity chapter polish","Utility reports, load disclosures, tariffs, dockets, contractor backlog, capex disclosures.",yes,"Final public citation formatting and exact filing links per claim.",Load tariff and capex are not receipts or returns.,ready-with-citation-work
ARSNA-003,Capital platforms,1,strong-local-evidence,"capital platforms chapter; Apollo/Athene artifacts; KKR/Global Atlantic artifacts; Ares borrower work; BlackRock/Blackstone/Brookfield/Carlyle maps","Asset-manager reports, AUM disclosures, statutory schedules, BDC schedules, vehicle documents.",yes,"Public citations for named AUM statutory and borrower claims.",AUM is not named borrower receipt or asset return.,ready-with-citation-work
ARSNA-004,Industrial uptime,2,strong-local-evidence,"industrial uptime chapter; URI artifacts; Sterling artifacts; MasTec artifacts","Annual reports for fleet, branches, vending, backlog, revenue, margin, OCF, and execution.",yes,"Broader citations for every named industrial company.",Scale is not fleet-class ROIC or project collection.,ready-with-citation-work
ARSNA-005,Healthcare access,2,local-analysis-ready,"healthcare access chapter; UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit analyses","Payer, provider, pharmacy, home-care, dialysis, reimbursement, labor, receivable, and cash-flow disclosures.",yes,"Public citations for payer provider pharmacy reimbursement labor and receivable claims.",Volume is not outcomes fairness trust or collection.,ready-with-citation-work
ARSNA-006,Built-environment upkeep,2,local-analysis-ready,"built-environment chapter; Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core & Main analyses","Home improvement, building products, coatings, lumber, waterworks, HVAC/plumbing, distribution, and civic infrastructure disclosures.",yes,"Public citations for each named company and sub-lane.",This is not one generic housing-cycle claim.,ready-with-citation-work
ARSNA-007,Digital control,2,local-analysis-ready,"digital control chapter; Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox analyses","Software, security, edge, cloud, platform, traffic, ARR, RPO, customer, usage, retention, cash-flow, and AI-exposure disclosures.",yes,"Broader tech citations for hardware semis storage telecom and application software.",Demand metrics are not durable margin proof.,ready-with-citation-work
ARSNA-008,Value retail,2,local-analysis-ready,"value retail chapter; Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's analyses","Retail filings for traffic, comps, ticket, membership, inventory, shrink, margin, ads, and format strategy.",yes,"Public citations for traffic comps membership inventory shrink and margin claims.",Traffic and comps are not durable customer quality.,ready-with-citation-work
ARSNA-009,Services and cultural consumption,3,packet-anchors-ready-source-refresh-needed,"extracted/services/restaurants/mcdonalds-corporation/company-packet.md; extracted/services/lodging/hilton-worldwide-holdings-inc/company-packet.md; extracted/services/resorts-casinos/mgm-resorts-international/company-packet.md","Lodging, restaurant, casino, airline, advertising, entertainment, staffing, and transportation annual reports.",partial,"Refresh public source paths and attach selected annual reports.",Service revenue is not consumer health.,queued-refresh
ARSNA-010,Consumer goods and household identity,3,packet-anchors-ready-source-refresh-needed,"extracted/consumer-goods/personal-products/procter-gamble-co/company-packet.md; extracted/consumer-goods/personal-products/colgate-palmolive-co/company-packet.md; extracted/consumer-goods/packaging-containers/ball-corporation/company-packet.md","Personal products, beauty, packaged food, beverage, apparel, toy, household product, cleaning product, and packaging annual reports.",partial,"Refresh public source paths and attach representative company filings.",Sales are not brand durability.,queued-refresh
ARSNA-011,Basic materials and input scarcity,3,packet-anchors-ready-source-refresh-needed,"extracted/basic-materials/copper/freeport-mcmoran-inc/company-packet.md; extracted/basic-materials/steel-iron/nucor-corporation/company-packet.md; extracted/basic-materials/agricultural-chemicals/cf-industries-holdings-inc/company-packet.md","Copper, steel, fertilizer, chemical, aggregates, lumber, uranium, industrial metals, and packaging-input reports.",partial,"Refresh public source paths and attach representative company filings.",End-market demand is not producer return.,queued-refresh
ARSNA-012,Real estate and scarce locations,3,packet-anchors-ready-source-refresh-needed,"extracted/real-estate/reit-specialty-real-estate/equinix-inc/company-packet.md; extracted/real-estate/reit-industrial-real-estate/prologis-inc/company-packet.md; extracted/real-estate/reit-healthcare-facilities/welltower-inc/company-packet.md","REIT annual reports, occupancy, rent spreads, lease terms, renewal rates, tenant concentration, debt maturity, development pipeline, AFFO/cash disclosures.",partial,"Attach REIT filings and lease/debt/cash disclosures.",Owning property is not pricing power.,queued-refresh
