denominator_control_id,source_table_id,batch_id,pilot_id,company,ticker,lane,metric_class,current_metric_or_proxy,denominator_family,current_denominator_status,comparison_allowed,comparison_forbidden,best_denominator_evidence,next_denominator_source,upgrade_test,safe_use
CF519DC-001-001,CF519CST-001,CF519CR-001,CF519P2-001,Kkr Co. Inc.,KKR,private_credit_direct_lending,platform / vehicle / borrower holder,KKR insurance and credit channel evidence plus holder rows,platform AUM; insurance liabilities; vehicle fair value; borrower facility balance,allocation-open-denominator-mismatch,Only compare within platform/channel scale or same borrower holder rows.,Do not compare KKR platform AUM with borrower fair value or cash return.,"KKR/Global Atlantic channel rows and KKR-linked holder rows are visible, but no common source-to-cash denominator is visible.",KKR statutory schedules; vehicle balance sheets; borrower credit agreement and repayment/use evidence,Upgrade only when a named source pool and borrower/use/cash denominator can be joined in one period.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-002,CF519CST-002,CF519CR-002,CF519P2-002,Apollo Global Management Inc.,APO,private_credit_direct_lending,insurance liability / invested asset / earnings spread,"Athene inflows, invested assets, alternative investments, SRE",liability inflows; net invested assets; alternative investments; spread-related earnings,platform-channel-denominator-visible,Compare Apollo/Athene to insurance or retirement asset-channel rows with matching period and units.,Do not compare Athene SRE directly to borrower facility balances or project capex.,"Q2 2026 Apollo/Athene channel denominators are visible: inflows, invested assets, alternative investments, and spread-related earnings.","Athene statutory Schedule D/BA, asset income, impairments, and liability-source roll-forward",Upgrade when statutory asset classes and investment income can be tied to asset pools and credit quality.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-003,CF519CST-003,CF519CR-003,CF519P2-003,Ares Management Corporation,ARES,private_credit_direct_lending,borrower holder fair value / commitment,Ares same-period named borrower holder rows,borrower fair value; unfunded commitment; transaction or bank denominator where visible,borrower-denominator-visible-source-use-open,Compare same-period borrower holder rows to other borrower holder rows.,"Do not compare holder fair value to Ares AUM, transaction value, or borrower revenue as if equivalent.",Same-period borrower fair-value and commitment cuts are visible; source-of-funds and borrower cash denominators are still open.,"Credit agreements, facility sizes, use-of-proceeds, repayment/termination records, and borrower financials","Upgrade when facility size, source/use, and borrower cash or repayment are visible for the same borrower.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-004,CF519CST-004,CF519CR-004,CF519P2-004,Blackrock Inc.,BLK,private_credit_direct_lending,queued denominator class,no local cash-realization metric extracted yet,private_credit_direct_lending source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Match platform AUM/vehicle fair value to borrower-facility balances, use-of-proceeds, lender allocation, and bank-credit denominators.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-005,CF519CST-005,CF519CR-005,CF519P2-005,Blackstone Inc.,BX,private_credit_direct_lending,vehicle / platform channel,Blackstone credit vehicle and funding-stack evidence,vehicle fair value; debt; equity/net assets; borrower exposure context,vehicle-denominator-visible-allocation-open,Compare only to vehicle/channel balance-sheet rows or same borrower holder rows.,"Do not compare vehicle assets to platform AUM, borrower revenue, or cash return.","Vehicle capital-stack rows are visible, but platform-to-borrower cash allocation remains open.",BXSL/BX statutory or vehicle funding schedules and borrower source/use/cash documents,Upgrade when vehicle funding stack and borrower/use/cash denominator can be joined.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-006,CF519CST-006,CF519CR-006,CF519P2-006,Unitedhealth Group Inc.,UNH,insurance_and_retirement_capital,queued denominator class,no local cash-realization metric extracted yet,insurance_and_retirement_capital source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add statutory invested-asset schedules, liability roll-forwards, investment income, credit quality, and asset-class denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-007,CF519CST-007,CF519CR-007,CF519P2-007,The Cigna Group,CI,insurance_and_retirement_capital,queued denominator class,no local cash-realization metric extracted yet,insurance_and_retirement_capital source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add statutory invested-asset schedules, liability roll-forwards, investment income, credit quality, and asset-class denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-008,CF519CST-008,CF519CR-008,CF519P2-008,Metlife Inc.,MET,insurance_and_retirement_capital,queued denominator class,no local cash-realization metric extracted yet,insurance_and_retirement_capital source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add statutory invested-asset schedules, liability roll-forwards, investment income, credit quality, and asset-class denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-009,CF519CST-009,CF519CR-009,CF519P2-009,Prudential Financial Inc.,PRU,insurance_and_retirement_capital,queued denominator class,no local cash-realization metric extracted yet,insurance_and_retirement_capital source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add statutory invested-asset schedules, liability roll-forwards, investment income, credit quality, and asset-class denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-010,CF519CST-010,CF519CR-010,CF519P2-010,Oneok Inc.,OKE,power_grid_and_project_finance,company capex / EBITDA / output proxy,"ONEOK capex, adjusted EBITDA, segment volumes, demand cues",capex; adjusted EBITDA; volume; project/demand denominator,company-same-period-denominator-visible,Compare ONEOK only to company-level midstream capex/output/cash-proxy rows.,Do not treat company adjusted EBITDA as project return.,"Q2 2026 company capex, EBITDA, volume, and demand denominators are visible.","Project-level capex, tariff/customer contracts, and project contribution schedule","Upgrade when named project cost, output, customer cash, and EBITDA contribution align.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
