extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARHDBE-001,"The Home Depot, Inc.",HD,FY2025,sales and sales growth,164.7 / 3.2,USD billions / percent,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,Home Depot had enormous annual built-environment spending scale.,Sales scale does not prove healthy housing demand or project-level cash quality.,source-visible-with-boundary
ARHDBE-002,"The Home Depot, Inc.",HD,FY2025,comparable sales,0.3,percent growth,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,Same-store demand was positive but muted.,Low positive comps do not prove a strong consumer or recovered large projects.,source-visible-with-boundary
ARHDBE-003,"The Home Depot, Inc.",HD,FY2025,net earnings and adjusted EPS,14.2 / 14.69,USD billions / USD per share,extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,The model remained profitable while housing conditions were pressured.,Profit does not prove every channel or acquisition has high cash return.,source-visible-with-boundary
ARHDBE-004,"The Home Depot, Inc.",HD,FY2025,adjusted operating margin and adjusted ROIC,13.1 / 25.7,percent / percent,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,The business still produced strong operating economics.,Adjusted ROIC does not prove new distribution investments or acquisitions have high returns.,source-visible-with-boundary
ARHDBE-005,"The Home Depot, Inc.",HD,Q3 2025,sales and comparable sales,41.4 / 0.2,USD billions / percent growth,extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-profile.md,Demand remained positive but restrained.,Quarter growth does not prove storm or large-project recovery.,source-visible-with-boundary
ARHDBE-006,"The Home Depot, Inc.",HD,Q3 2025,GMS contribution,about 900,USD millions sales,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,Acquisition-backed Pro distribution was visible in reported sales.,"GMS sales do not prove integration quality, margin, or acquisition return.",source-visible-with-boundary
ARHDBE-007,"The Home Depot, Inc.",HD,Q4 2025,sales and comparable sales,38.2 / 0.4,USD billions / percent growth,extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-profile.md,Full-year close showed stable but not booming demand.,Stable demand does not prove cash quality or housing strength.,source-visible-with-boundary
ARHDBE-008,"The Home Depot, Inc.",HD,Q4 2025,demand commentary,underlying demand relatively stable after storm adjustment,management commentary,extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,The company framed demand as resilient but pressured.,Commentary does not prove normalized repair/remodel cash conversion.,source-visible-with-boundary
ARHDBE-009,"The Home Depot, Inc.",HD,Q1 2026,sales and comparable sales,41.8 / 0.6,USD billions / percent growth,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,Growth continued into the next fiscal year.,Growth is not purely same-store demand and does not prove project strength.,source-visible-with-boundary
ARHDBE-010,"The Home Depot, Inc.",HD,Q1 2026,U.S. comparable sales and adjusted EPS,0.4 / 3.43,percent growth / USD per share,extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-profile.md,U.S. demand and earnings were visible but modest.,"Adjusted EPS does not prove inventory, margin, or working-capital quality.",source-visible-with-boundary
ARHDBE-011,"The Home Depot, Inc.",HD,Q1 2026,SRS branch and delivery network,"more than 1,300 / about 16,000",branches / delivery assets,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,Home Depot was becoming more deeply embedded in Pro-trade distribution.,Network scale does not prove branch-level profitability or integration success.,source-visible-with-boundary
ARHDBE-012,"The Home Depot, Inc.",HD,Q1 2026,SRS cross-sell run rate,roughly 400,USD millions,analysis/company-first-principles/services/home-improvement-stores/the-home-depot-inc/company-analysis.md; extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md,Pro-network integration had an early revenue-synergy signal.,"Cross-sell run rate does not prove margin, retention, or realized acquisition return.",source-visible-with-boundary
