schema_id,input_family,model_field,current_status,current_observation,unit_or_denominator,model_use,exact_upgrade_document,source_artifact,proof_grade
Q07-INPUT-001,earnings,FRE SRE PII and ANI bridge,observed,"$1.678B FRE/SRE/PII less $53M HoldCo financing and $311M taxes equals $1.314B ANI",USD and Apollo consolidated period,starting earnings/use surface,Apollo 10-Q and earnings reconciliation,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-athene.md,source-confirmed
Q07-INPUT-002,entity,Apollo HoldCo/AGM unrestricted cash,partial,"$3.412B HoldCo summary and $3.415B Asset Management segment context",USD and legal-entity scope,parent cash denominator,parent-only cash ledger and bank statement,analysis/company-first-principles/capital-flow-apollo-athene-q2-parent-cash-perimeter-reconciliation-2026-09-16.md,evidence-insufficient
Q07-INPUT-003,source,Athene subsidiary dividend declared and paid,partial,"$110M H1 distribution-to-parent frontier and $375M Athene common dividends paid",USD and H1 2026,upstream source candidate,Athene dividend schedule and payment confirmation,analysis/company-first-principles/capital-flow-apollo-athene-q2-parent-receipt-refresh-2026-09-16.md,evidence-insufficient
Q07-INPUT-004,receipt,AGM receiving account and dated amount,searched-negative,no AGM-only receipt line or account confirmation was found in the checked Apollo Q2 filing and financial-supplement perimeter,USD and receipt date,Apollo parent cash inflow,bank confirmation and intercompany receipt ledger,analysis/company-first-principles/capital-flow-apollo-athene-q2-parent-receipt-refresh-2026-09-16.md,unresolved
Q07-INPUT-005,elimination,Apollo/Athene intercompany elimination,missing,"No source-linked elimination schedule is joined to the receipt frontier; the public boundary is not a substitute for the controlled schedule",USD by consolidation period,prevents grossing up internal transfers,consolidation elimination schedule,analysis/company-first-principles/capital-flow-apollo-athene-statutory-parent-affiliate-boundary-upgrade-2026-09-15.md,missing
Q07-INPUT-006,financing,AHL-to-AGM note draw repayment interest and use,partial,"$279M receivable within disclosed $500M facility; Apollo FY2025 parent-only Schedule I corroborates a $227M AGM payable to AHL against AHL's $227M receivable at December 31 2025; balance is not a cash draw",USD by note date,financing versus distribution classification,note ledger borrowing notices and bank confirmations,analysis/company-first-principles/capital-flow-apollo-athene-intercompany-note-longitudinal-refresh-2026-09-16.md,evidence-insufficient
Q07-INPUT-007,legal-access,Statutory dividend capacity and restrictions,partial,"Legal dividend path and Bermuda/statutory/solvency constraints are visible",USD legally available,maximum upstream cash,regulatory dividend filing and solvency schedule,analysis/company-first-principles/capital-flow-apollo-athene-legal-dividend-capacity-boundary-upgrade-2026-09-15.md,evidence-insufficient
Q07-INPUT-008,senior-claims,Debt preferred NCI policyholder tax and regulated-capital claims,partial,Aggregate claims and entity cash obligations are visible; full waterfall is not joined,USD by legal entity,common residual waterfall,entity waterfall and capital-adequacy schedule,analysis/company-first-principles/combined-investment-research-capital-obligation-claim-matrix-2026-09-15.md,evidence-insufficient
Q07-INPUT-009,fee-cash,Athene management-fee payable settlement and recipient,partial,"$779M mechanical opening payable plus expense less ending payable implication",USD by period and recipient,fee-entity cash inflow,related-party settlement schedule and recipient account,analysis/company-first-principles/capital-flow-apollo-athene-fee-rollforward-boundary-2026-09-15.md,evidence-insufficient
Q07-INPUT-010,parent-uses,Dividends repurchases taxes debt service and HoldCo investment uses,partial,Selected parent uses are visible but not fully reconciled to receipt sources,USD by parent period,common-owner cash deployment,parent cash-flow note and use-of-cash ledger,analysis/company-first-principles/capital-flow-apollo-athene-parent-use-coverage-frontier-2026-09-15.md,evidence-insufficient
Q07-INPUT-011,shares,Basic preferred conversion RSU and dilution claims,observed,"Q2 adjusted-share denominator boundary includes preferred and RSU claims",shares and diluted denominator,per-share residual,Q2 share-claim and dilution schedule,analysis/company-first-principles/capital-flow-apollo-q2-share-claim-dilution-boundary-upgrade-2026-09-15.md,source-confirmed
Q07-INPUT-012,return,Common-owner residual payout repurchase and per-share value,not-assembled,"A $0M-$110M parent-attribution frontier and selected parent-use coverage screen exist, but no source-linked parent-to-common-owner waterfall has been assembled",USD and diluted shares,final common-owner cash/value,integrated parent-to-common-owner waterfall,analysis/company-first-principles/capital-flow-apollo-athene-parent-receipt-attribution-frontier-2026-09-15.md,missing
