gate_id,stage,question,entity_or_metric,evidence_value,period,source_artifact,current_status,what_is_proven,missing_upgrade
AVP-001,social_signal,What behavior is being investigated?,Affordability substitution and constrained choice,Households trade down substitute search harder and preserve useful or identity-linked consumption,2026,/home/mehtama1/git-repo/social-research/analysis/social/deep-theme-subtheme-synthesis.md,usable-draft-context,Directional social hypothesis,Independent prevalence and causal validation
AVP-002,social_signal,How strong is the social package?,Theme signal count,33 social signals,2026,/home/mehtama1/git-repo/social-research/analysis/social/cross-repository-theme-evidence-matrix.json,usable-draft-evidence,Theme is non-empty and mapped,Representative sample and calibrated external validation
AVP-003,social_boundary,Can the social layer prove demand?,Social interpretation boundary,Not consumer prevalence market size causality or investment proof,2026,/home/mehtama1/git-repo/social-research/analysis/social/cross-repository-theme-evidence-matrix.md,boundary-explicit,Overclaim boundary is stated,Nothing unless stronger social evidence is obtained
AVP-004,inc5000_discovery,What business formation is mapped?,Inc. 5000 mapped subpattern assignments,1553 assignments; 1777 unique 2026 companies; 87.3B USD summed revenue,2026,/home/mehtama1/git-repo/social-research/analysis/social/cross-repository-theme-evidence-matrix.md,directional-business-context,Emerging business activity is mapped,Company-level classification and verified economics
AVP-005,inc5000_boundary,Can Inc. 5000 prove consumer demand?,Inc. 5000 interpretation,Counts are business formation and scale context only,2026,/home/mehtama1/git-repo/inc5000-analysis/README.md,boundary-explicit,Growth is treated as discovery not proof,Primary customer and cash evidence
AVP-006,cohort,Which public companies test the force?,Retail cohort,TJX Target Walmart,2026,../cross-sector/off-price-value-discovery-and-retail-cash-comparison-2026-09-15.md,cohort-selected,Comparable public test cases,Common normalized filing table
AVP-007,control_point,What does TJX control?,Flexible buying and value discovery,Changing branded assortment plus repeated discount traffic,2026,../deep-company-pages/the-tjx-companies-inc.md,filing-backed-hypothesis,Control point and operating questions are stated,Normalized buying margin and inventory proof
AVP-008,control_point,What does Target control?,Planned assortment owned brands stores digital access and services,Customer relationship plus supplier and store/digital system,2026,../deep-company-pages/target-corporation.md,filing-backed-hypothesis,Control point and burden map are stated,Normalized merchandise and vendor-income bridge
AVP-009,control_point,What does Walmart control?,Broad low-price availability and fulfillment network,Stores pickup delivery membership marketplace advertising and financial services,2026,../deep-company-pages/walmart-inc.md,filing-backed-hypothesis,Scale control point and burden map are stated,Normalized low-price and capital-return bridge
AVP-010,owner_cash,What is the common cash test?,Retail owner-cash chain,Operating cash less inventory timing fulfillment stores distribution technology leases and dilution,2026,../cross-sector/off-price-value-discovery-and-retail-cash-comparison-2026-09-15.md,framework-defined,Correct denominator questions are defined,Comparable company-period calculations
AVP-011,valuation,What must valuation distinguish?,Denominator-specific retail value,TJX off-price; Target mass retail; Walmart scale plus attached services,2026,../cross-sector/off-price-value-discovery-and-retail-cash-comparison-2026-09-15.md,qualified,Unlike models are not collapsed,Current market snapshot and normalized scenarios
AVP-012,macro,What macro conditions transmit to cash?,Affordability inflation labor tariffs credit and rates,The same trade-down can help traffic while pressuring margin and suppliers,2026,../cross-sector/off-price-value-discovery-and-retail-cash-comparison-2026-09-15.md,mechanism-defined,Macro transmission paths are explicit,Company-specific sensitivity table
AVP-013,falsifier,What would break the cohort thesis?,Retail value and cash tests,Traffic weakness markdowns inventory aging vendor/tariff dependence fulfillment labor lease or capital burden,2026,analysis/company-first-principles/combined-investment-research-pilot-02-affordability-value.md,watchlist-defined,Measurable disconfirming tests defined,Future filing results
AVP-014,proof_level,What is the overall status?,Affordability-to-investment chain,Social and Inc. 5000 directional; annual-report cohort qualified,2026,analysis/company-first-principles/combined-investment-research-pilot-02-affordability-value.md,qualified-not-proven,All layers are connected with boundaries,Independent demand proof plus normalized cash and valuation table
AVP-015,owner_cash,What does TJX's FY2026 filing report?,TJX FY2026 cash bridge,6874M operating cash flow less 1957M property additions equals 4917M cash after property additions,2026,../deep-company-pages/the-tjx-companies-inc.md,primary-source-confirmed,Annual reported cash bridge is reconciled,Normalize inventory turns leases maintenance capital taxes dilution and market input
AVP-016,working_capital,What burden appears in TJX's FY2026 bridge?,TJX merchandise inventory and payables,7297M merchandise inventory; 724M inventory use of cash; 239M accounts-payable source,2026,../deep-company-pages/the-tjx-companies-inc.md,primary-source-confirmed,Inventory and vendor-term effects are visible,Separate recurring inventory economics from timing and markdown effects
AVP-017,reinvestment,How is TJX FY2026 capital deployed?,TJX property additions,185M new stores; 921M renovations and improvements; 851M offices and distribution centers,2026,../deep-company-pages/the-tjx-companies-inc.md,primary-source-confirmed,Capex categories are named,Maintenance versus growth return and store-level cash proof
AVP-018,capital_returns,How did TJX return capital in FY2026?,TJX repurchases and stock compensation,2522M repurchases; 214M share-based compensation; 1842M dividends,2026,../deep-company-pages/the-tjx-companies-inc.md,primary-source-confirmed,Capital-return and dilution claims are visible,Reconcile diluted shares and per-share owner cash
AVP-019,owner_cash,What noncash compensation burden appears in Target H1 2026?,Target share-based compensation and related tax withholding,154M share-based compensation expense and 92M shares withheld for related taxes,H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-burden-normalization.md,primary-source-confirmed,Target's cash-flow and financing statements expose a source-bounded compensation sensitivity,Separate recurring dilution from settlement timing and reconcile to diluted shares
AVP-020,working_capital,What supplier-finance burden is visible in Target and Walmart?,Retail supplier-finance obligations,Target 3200M USD and Walmart 6400M USD eligible/outstanding supplier-finance obligations,H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-supplier-finance-boundary.md,boundary-confirmed,Payable-finance balances are visible without treating them as one-period owner cash,Roll-forward settlement timing and accounts-payable cash allocation
AVP-021,attached_services,What attached-service economics are visible in the retail cohort?,Advertising membership card and other revenue,Target 525M advertising 269M card profit sharing and 347M other revenue; Walmart 1676M US 851M international and 1328M Sam's Club membership and other income,H1 2026 / H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-boundary.md,boundary-confirmed,Attached revenue control points are visible without adding revenue one-for-one to owner cash,Allocated costs capex working capital tax and cash attribution
AVP-022,cohort_operating,What demand and operating control signals are visible across the retail cohort?,Retail cohort operating matrix,TJX H1 comparable sales plus Target Q2 traffic and comparable sales plus Walmart and Sam's Club comparable sales and digital or membership signals,H1 FY2027 / Q2 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-cohort-operating-matrix.md,primary-source-confirmed,Comparable demand and attached operating signals are placed beside cash and burden boundaries,Common-period transaction margin inventory and owner-cash normalization
AVP-023,cohort_owner_cash,What common-period cash denominator is visible across TJX Target and Walmart?,Retail common-period cash matrix,H1 operating cash flow less property spending equals TJX 2186M Target 2115M and Walmart 5529M; mechanical cash per diluted share is 1.955 4.636 and 0.692 respectively,H1 FY2027 / H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-common-period-cash-matrix.md,reported-denominator-screen,Common-period reported cash screens are reconciled without ranking unlike periods,Full-year normalization maintenance capex working capital leases taxes dilution and seasonality
