section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
AROFEX-001,opening_frame,The Cash Harvest; The Spread Machine; Membership or Nothing; The Affordability Ceiling; The Private Capital Colonization,"Finance becomes real when it changes what households and businesses can buy, borrow, insure, delay, refinance, or risk.","household/business need -> bank/card/insurer/payment network/broker/asset manager/private-credit platform -> interest/fee/spread/premium/interchange/advisory economics -> losses/funding/rewards/claims/reserves/capital/liquidity -> durable cash or fragility",JPMorgan; American Express; Capital One; Progressive; Visa; Mastercard; Chubb; PayPal; BlackRock; Blackstone,loan balances; deposits; NIM; charge-offs; provisions; payment volume; take rate; premium growth; combined ratio; rewards cost; capital; cash flow,"Use as a no-background finance frame, not as proof that financial revenue equals clean cash."
AROFEX-002,finance_prices_time,Affordability Ceiling,"Credit is a bridge across time; losses show when the bridge was too weak.",need now -> loan/card balance -> interest and fees -> payment behavior -> delinquency/charge-off/reserve -> capital and cash outcome,JPMorgan; Capital One; American Express; Synchrony; Affirm,balances; APR/yield; payment rate; delinquency; charge-off; provision; reserve; capital,Safe claim: higher loan balances do not prove healthy customers.
AROFEX-003,cards_balances_and_fees,Membership or Nothing; Affordability Ceiling; Cash Harvest,"Cards are both payment tools and lending products, so spending power and borrower stress must be read together.",purchase need -> card authorization -> merchant fee/interchange/annual fee/interest -> rewards and funding cost -> delinquency/charge-off/reserve -> earnings/capital,American Express; Capital One; JPMorgan; Mastercard; Visa; Synchrony,billed business; purchase volume; receivables; annual fees; rewards cost; delinquencies; charge-offs; reserves,Safe claim: card revenue must be read with credit and rewards costs.
AROFEX-004,deposits_as_funding,Spread Machine,"Deposits are a funding product and a liability, not free money for banks.",customer cash -> bank deposit -> funding base -> loans/securities -> interest income minus deposit cost -> NIM/capital/liquidity,JPMorgan; Capital One; regional banks; brokerages,deposit balances; deposit beta; funding cost; liquidity; securities duration; NIM; capital,Safe claim: deposit quality depends on cost and stickiness.
AROFEX-005,insurance_prices_risk,Private Capital Colonization; Cash Harvest,"Insurance converts uncertain future loss into a known premium today, but claims and reserves decide whether the price was adequate.",customer risk -> premium -> insurer float/investment portfolio -> claim/loss adjustment/reserve -> combined ratio and capital,Progressive; Chubb; Travelers; Berkshire; MetLife; Prudential,premium growth; loss ratio; combined ratio; claim severity; reserves; investment yield; retention,Safe claim: premium growth is not enough without loss and reserve proof.
AROFEX-006,payments_authorization_settlement,Spread Machine; Membership or Nothing,"Payment networks sell acceptance, authorization, clearing, settlement, fraud control, and trust.",merchant/customer transaction -> authorization/network/processor -> interchange/service fee/take rate -> fraud/incentive/regulatory cost -> operating margin and cash,Visa; Mastercard; PayPal; American Express; Block,payment volume; transactions; cross-border volume; take rate; incentives; fraud; regulation; margin,Safe claim: payment volume matters only after take-rate and cost checks.
AROFEX-007,spread_machine,Spread Machine,"A spread is durable only if the route is hard to avoid and losses or funding costs do not eat it.",mandatory route or balance sheet -> fee/spread/tariff/take rate -> operating cost/loss/funding cost -> durable margin,JPMorgan; insurers; brokerages; Visa; Mastercard; private-credit platforms,NIM; fee yield; funding cost; loss cost; route durability; operating margin; capital,Safe claim: spreads need route and risk proof.
AROFEX-008,membership_finance,Membership or Nothing,"Membership finance captures a recurring relationship before each transaction and then stacks fees, rewards, data, and merchant economics on top.",membership/card account -> recurring fee and higher transaction frequency -> merchant/network economics -> rewards/benefit cost -> retention and lifetime value,American Express; Marriott co-brands; JPMorgan cards; Capital One; PayPal,annual fees; card acquisition; fee-paying mix; retention; rewards cost; spend; merchant economics,Safe claim: benefits and retention must justify fee growth.
AROFEX-009,affordability_ceiling,Affordability Ceiling,"Finance is the meter that shows whether households are spending from income or borrowed time.",household budget pressure -> card balance/BNPL/loan demand/insurance shopping/deposit movement -> lender/insurer/payment revenue -> losses/reserves/claims -> cash and capital,Capital One; American Express; Affirm; Progressive; PayPal,balances; delinquencies; charge-offs; payment rate; BNPL GMV; insurance shopping; reserve builds,Safe claim: spending can look strong before credit quality deteriorates.
AROFEX-010,private_capital_colonization,Private Capital Colonization,"Private platforms route capital, but named-cash proof still requires vehicle schedules, borrower lists, collateral, debt waterfalls, and realization evidence.",pension/insurance/retail/institutional savings -> asset manager/private vehicle/insurer/BDC -> borrower/asset/project -> interest/rent/fee/exit -> platform fee/spread/cash,BlackRock; Blackstone; KKR; Apollo/Athene; Ares; Brookfield; Prudential; MetLife,AUM; FPAUM; inflows; insurance liabilities; dry powder; deployment; realizations; collateral; vehicle schedules,Safe claim: AUM is routing scale, not proof of final cash realization.
