"proof_id","proof_gate","source_route","source_url_or_local_basis","evidence_found","current_status","what_it_proves","what_it_does_not_prove","next_required_source","upgrade_test","safe_use"
"CFFPLPPA-001","docket route","Florida PSC Docket 20260010-EI","local prior API pass plus live public PDF route checks","Known 20260010-EI FPL SPPCRC filing PDFs remain reachable through public PSC filing URLs","route-visible","Confirms the current public docket route is usable for source acquisition","Does not prove actual billings collections category allocation funding source or return","Current full docket inventory plus served discovery package","Upgrade if docket or party files expose substantive answer and POD schedules","Use as route-control evidence"
"CFFPLPPA-002","petition route","DN 02558-2026","https://www.psc.state.fl.us/library/filings/2026/02558-2026/02558-2026.pdf","FPL petition route for actual/estimated 2026 SPPCRC true-up and projected 2027 factors is public","petition-visible","Confirms the legal request channel for recovery and factors","Petition does not expose Distribution Inspection-specific collected receipts","Petition appendices workpapers and supporting discovery","Upgrade if petition support includes category receipt or source/use workpapers","Use as legal-route evidence"
"CFFPLPPA-003","program category support","DN 02559-2026","https://www.psc.state.fl.us/library/filings/2026/02559-2026/02559-2026.pdf","Pankratz testimony and project/program exhibits route is public","program-support-visible","Confirms storm-protection program/category support route","Program testimony is not a customer receipt ledger or source-of-funds waterfall","AP exhibit row detail plus ledger support","Upgrade if exhibits include Distribution Inspection ledger fields linked to receipts","Use as category-support evidence"
"CFFPLPPA-004","factor and billing-base support","DN 02560-2026 and DN 03227-2026","https://www.psc.state.fl.us/library/filings/2026/02560-2026/02560-2026.pdf ; https://www.psc.state.fl.us/library/filings/2026/03227-2026/03227-2026.pdf","Epperson testimony and amended Form 4P/Form 5P support expose factor and billing-base route","factor-proxy-visible","Confirms rate-class factor and projected billing-base support exists","Projected factors and billing bases do not prove actual billed or collected cash","Actual billing determinants by rate class and month","Upgrade if workpapers show actual billed and collected SPPCRC revenue by class and period","Use as billing-base proxy evidence"
"CFFPLPPA-005","aggregate clause revenue","Form 2E extraction from local FPL 2026 docket pass","capital-flow-fpl-2026-docket-billing-receipt-source-availability-pass-1.md","Prior extraction records 1.000979763B USD aggregate SPPCRC clause revenue","aggregate-revenue-visible","Confirms aggregate clause revenue support exists","Aggregate revenue does not allocate receipts to Distribution Inspection","Category allocation workpaper from aggregate SPPCRC receipts","Upgrade if a workpaper ties aggregate receipts to Distribution Inspection revenue requirement and actual collections","Use as aggregate recovery evidence only"
"CFFPLPPA-006","Distribution Inspection category bridge","local FPL Distribution Inspection extraction trail","capital-flow-fpl-distribution-inspection-receipts-financing-boundary-pass-1.md","Local trail shows 193199 projects 61.5M USD actual cost 38.320627M USD final expenditures and 22.263219M USD final additions to plant","category-recovery-proxy-visible","Confirms output cost plant-addition and recovery proxy fields for the category","Does not prove category-specific customer cash collected or source funding","Distribution Inspection subaccount ledger and category receipt allocation","Upgrade if category ledger ties costs additions revenue requirement and collected receipts","Use as category recovery proxy"
"CFFPLPPA-007","discovery request route","Staff and Panama City discovery DNs","capital-flow-fpl-2026-discovery-audit-receipt-proof-route-pass-1.md","Staff and Panama City interrogatory and POD routes are visible through DNs 02990-2026 03047-2026 03261-2026 03825-2026 04149-2026 04150-2026 and 05040-2026","discovery-route-visible","Confirms a plausible channel for billing receipt workpaper requests exists","Certificates and request notices do not expose questions answers or productions","Actual interrogatory requests responses and POD attachments","Upgrade if discovery productions include billing determinant receipt allocation or funding schedules","Use as acquisition route map"
"CFFPLPPA-008","response and objection route","FPL response notice DNs","https://www.psc.state.fl.us/library/filings/2026/05260-2026/05260-2026.pdf","FPL response and objection notices are visible including DNs 03396-2026 03451-2026 03676-2026 04505-2026 04795-2026 and 05260-2026","response-notice-visible","Confirms FPL served responses or objections in the discovery route","Response notices are not the response content or produced schedules","Served response package and confidentiality index","Upgrade if response package includes non-confidential billing receipt or workpaper attachments","Use as response boundary evidence"
"CFFPLPPA-009","audit route","DN 03417-2026","https://www.psc.state.fl.us/library/filings/2026/03417-2026/03417-2026.pdf","Audit report route is public and prior extraction says no confidential workpapers were associated with the audit","audit-boundary-visible","Confirms audit route exists and does not appear to hide confidential audit workpapers in this filing","Audit summary does not expose underlying category receipt funding or return schedules","Audit support files staff workpapers or hearing exhibits","Upgrade if audit workpapers reconcile category recovery to billed and collected cash","Use as audit-route boundary"
"CFFPLPPA-010","public API and access boundary","PSC public API/access boundary pass","capital-flow-fpl-psc-api-document-access-boundary-pass-1.md","Prior API pass found docket inventory and document detail metadata but not hidden attachments or served answer/POD packages","public-access-boundary-visible","Confirms public endpoints are useful for inventory and visible PDFs","Metadata does not prove named cash or unlock hidden schedules","Records request party files hearing exhibits or public release of served discovery","Upgrade if new source class exposes actual proof schedules","Use as stop rule for repeated endpoint probing"
"CFFPLPPA-011","decisive missing package","named-cash proof requirements matrix","capital-flow-named-cash-proof-requirements-matrix-pass-1.md","Missing documents remain billing determinants billed/collected revenue category allocation source-of-funds legal-entity waterfall certificate support and return model","decisive-package-missing","Identifies the exact source package needed for promotion","Does not itself prove cash all the way through","Actual proof package from FPL PSC staff Panama City public records request or hearing record","Upgrade only if the joined package covers receipts allocation funding legal entity and return","Use as acquisition checklist"
"CFFPLPPA-012","full proof verdict","FPL named-cash proof package acquisition","current public PSC and local extraction record","FPL remains best regulated-recovery candidate but no full joined proof package is public in this pass","hold-public-route-visible-served-proof-missing","Confirms recovery route and public evidence quality while preserving proof boundary","Does not prove Distribution Inspection-specific receipts legal-entity waterfall collateral certificate earned return IRR NPV payback or full named cash return","Served discovery/POD package confidentiality index billing ledger source-of-funds schedule and return workpapers","Promote only if source recipient category receipt legal entity funding and return can be joined","Use as final FPL public-route verdict for this pass"
