source_id,route,issuer_or_wrapper,same_cusip_route,primary_source_url,local_source_artifact,source_period,status,what_is_proven,missing_upgrade
NISA-001,AMAPS,AMAPS / Apollo Multi-Asset Prime Securities,02300A-AA-8,https://www.apollo.com/insights-news/insights/2026/05/introducing-amaps,raw/primary-sources/capital-flow/apollo/named-assets/2026-05/introducing-amaps.html,2026-05,preserved-source-confirmed,Product-level structured-credit wrapper context and diversified corporate/asset-backed collateral description,Tranche collateral pool borrower identities Athene allocation remittance liability cost and asset-level return
NISA-002,Concord music-rights ABS,Concord Music Royalties LLC,20633K-AN-8,https://concord.com/news/concord-closes-1-765-billion-abs-to-fuel-continued-growth/,raw/primary-sources/capital-flow/concord/2025-07/concord-1-765b-abs-release.html,2025-07,preserved-source-confirmed,$1.765B senior-note issuance secured by more than 1.3M music copyrights and issuer-level securitization context,Athene trade/receipt noteholder remittance redemption ledger royalty collections liability cost and realized return
NISA-003,MF1 2026-FL21 servicing packet,MF1 2026-FL21 LLC,not-joined-to-592918-AA-4,https://www.sec.gov/Archives/edgar/data/2134864/000153949726001596/exh4_2-mf1psa.htm,raw/primary-sources/capital-flow/mf1/2026-03/mf1-2025-b2-transaction-exhibit.htm,2026-02,preserved-source-confirmed,Servicing agreement names MF1 2026-FL21 collateral and loan parties and provides collection-account servicing, record-keeping, default-collateral, and servicing-compensation mechanics,Offering/CUSIP/legal-owner crosswalk to MF1 2025-B2 / 592918-AA-4 plus loan schedule collateral tape trustee remittance note waterfall Athene allocation liability cost and property-level borrower cash
NISA-004,MF1 2025-B2 data procedures,MF1 2025-B2 LLC,592918-AA-4,https://www.sec.gov/Archives/edgar/data/1991416/000153949725001106/n4961_x1exh99-1.htm,raw/primary-sources/capital-flow/mf1/2025-05/mf1-2025-b2-data-file-procedures-ex99-1.htm,2025-04,preserved-source-confirmed,Public data-procedures report identifies 23 collateral interests and 74 related mortgaged properties and enumerates loan-level compared/recomputed attributes,Underlying data tape loan cash flows trustee remittance Athene allocation liability cost and realized return
NISA-005,AP Hansel,AP Hansel SPV LLC / Aldar Hansel, G2963@-AA-0,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/3535716/Aldar_Properties_PJSC_-_Integrated_Report_December_31%2C2924.pdf,analysis/company-first-principles/capital-flow-apollo-athene-ap-hansel-public-source-refresh-2026-09-16.md,2024-2025,public-source-refresh-partial,Aldar identifies AP Hansel as wholly owned by Apollo Capital Management and discloses land-rights structure dividends and February 2025 USD 493.226M share repurchase,Exact statutory CUSIP settlement Athene allocation proportional repurchase share liability cost and Apollo common-owner cash
NISA-006,AOP Finance Partners,AOP Finance Partners LP,00196#-AA-8;00196#-AB-6,https://www.sec.gov/Archives/edgar/data/1527469/000152746922000018/R14.htm,analysis/company-first-principles/capital-flow-apollo-athene-aop-finance-public-source-refresh-2026-09-16.md,2021-2025,public-source-refresh-partial,Athene identifies AOP as a consolidated VIE with USD 747M investment-fund assets and economic benefits/losses attributed to Athene after related-party fees,Current lot continuity settlement borrower/collateral cash liability cost and return
NISA-007,ATLAS Funding 1,ATLAS SP / ATLAS Funding 1,04941*-AB-0;04941*-AD-6,https://ir.apollo.com/news-events/press-releases/detail/494/apollos-atlas-sp-announces-investment-from-massmutual,analysis/company-first-principles/capital-flow-apollo-athene-atlas-funding-public-source-refresh-2026-09-16.md,2023-2025,public-source-refresh-partial,Apollo describes ATLAS as a majority-Apollo-owned warehouse-finance and securitized-products business and Athene rows total approximately USD 487.270M,Exact issuer ownership class collateral redemption settlement trustee remittance liability cost and common-owner cash
NISA-008,AA MMF 1,AA MMF 1 Ltd / AA MMF 1 Holdco LP,000249-AA-0,https://ir.athene.com/sec-filings/all-sec-filings/content/0001193125-24-273539/0001193125-24-273539.pdf,analysis/company-first-principles/capital-flow-apollo-athene-aa-mmf1-public-source-refresh-2026-09-16.md,2024-2025,public-source-refresh-partial,Athene regulatory exhibit identifies AA MMF 1 Holdco LP and Apollo Principal Holdings chain around the USD 222.810M statutory candidate,Exact Ltd-to-Holdco identity Athene ownership settlement borrower cash liability cost and return
NISA-009,Apollo Debt Solutions BDC,Apollo Debt Solutions BDC,03770D-AC-7,https://www.sec.gov/Archives/edgar/data/1837532/000119312524187649/d849659dex42.htm,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-public-source-refresh-2026-09-16.md,2024-2025,public-source-refresh-partial,SEC confirms exact CUSIP issuer 6.700% coupon July 29 2031 maturity USD 600M initial principal and U.S. Bank Trust trustee,Sale counterparty Athene settlement BDC cash underlying borrower repayment liability cost and common-owner cash
NISA-010,VMC Finance 2023-PV1,VMC Finance / Varde,91836A-AA-4,https://finsight.com/deal-68212-vmc-finance-llc-vmc-2023-pv1,analysis/company-first-principles/capital-flow-apollo-athene-vmc-finance-public-source-refresh-2026-09-16.md,2023-2025,public-source-refresh-insufficient,Public deal data identifies VMC 2023-PV1 as Varde-linked CMBS and later SEC material references the prior securitization,Original offering loan/property collateral trustee remittance Athene settlement liability cost and return
