row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation,what_it_says,what_it_does_not_say,pass_or_hold,next_required_source,safe_claim
CFMTDRDSQ-001,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Facility borrowing,Credit Agreement borrowings outstanding,939.000,USD millions,reported,"Matador had 939.0M USD outstanding under its reserve-based Credit Agreement at June 30 2026.","Outstanding borrowings are not full availability, collateral cushion, or debt-service quality by themselves.",visible,borrowing-base certificate and pricing grid,"The main secured facility debt balance is visible."
CFMTDRDSQ-002,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Letters of credit,Credit Agreement letters of credit outstanding,53.800,USD millions,reported,"Matador had approximately 53.8M USD of letters of credit outstanding under the Credit Agreement.","This does not identify beneficiaries or fee economics.",visible,letter-of-credit schedule,"Ancillary credit usage is visible."
CFMTDRDSQ-003,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Borrowing base,Borrowing base reaffirmed,3250.000,USD millions,reported,"The borrowing base was reaffirmed at 3.25B USD in June 2026.","Borrowing-base size is not reserve value or collateral cushion without the certificate.",visible,borrowing-base redetermination package,"Borrowing-base capacity is source-visible."
CFMTDRDSQ-004,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Elected commitment,Elected borrowing commitments after increase,2750.000,USD millions,reported,"Matador elected, and lenders agreed, to increase borrowing commitments to 2.75B USD.","Incremental commitment does not prove use or return.",visible,lender commitment schedule,"Committed facility capacity is visible."
CFMTDRDSQ-005,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Elected commitment increase,Elected commitment increase,500.000,USD millions,2750.000 - 2250.000,"The elected commitment increased by 500M USD from 2.25B USD to 2.75B USD.","This does not prove incremental borrowing economics or incremental asset return.",calculated-visible,amendment Schedule 1.2 and commitment table,"The capacity increase is measurable."
CFMTDRDSQ-006,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple unused commitment before LCs,Unused elected commitment before letters of credit,1811.000,USD millions,2750.000 - 939.000,"Before letters of credit, Matador had 1.811B USD of undrawn elected commitment at June 30 2026.","This is not legal availability after all agreement definitions.",calculated-visible,availability certificate,"Matador had substantial simple undrawn capacity."
CFMTDRDSQ-007,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple unused commitment after LCs,Unused elected commitment after letters of credit,1757.200,USD millions,2750.000 - 939.000 - 53.800,"After borrowings and letters of credit, Matador had about 1.7572B USD of simple unused elected commitment.","This is not contractual availability or collateral cushion.",calculated-visible,availability certificate and covenant calculation,"Simple liquidity headroom is visible."
CFMTDRDSQ-008,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Borrowing base headroom,Borrowing base less elected commitment,500.000,USD millions,3250.000 - 2750.000,"The borrowing base exceeded elected commitments by 500M USD.","This does not prove available borrowings beyond elected commitments or reserve cushion.",calculated-visible,borrowing-base certificate,"Borrowing-base-to-commitment headroom is visible at a simple level."
CFMTDRDSQ-009,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple drawn share of elected commitment,Credit Agreement borrowings / elected commitment,34.145,percent,939.000 / 2750.000,"Outstanding Credit Agreement borrowings equaled about 34.1% of elected commitment at June 30 2026.","This is a simple utilization ratio, not a covenant test.",calculated-visible,borrowing-base and availability certificate,"Facility utilization is measurable."
CFMTDRDSQ-010,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple utilization including LCs,Borrowings plus letters of credit / elected commitment,36.102,percent,(939.000 + 53.800) / 2750.000,"Borrowings plus letters of credit equaled about 36.1% of elected commitment.","This is not legal availability after reserves and covenants.",calculated-visible,availability certificate,"Facility usage including LCs is measurable."
