energy_extract_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,subtheme,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIESTE-001,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,midstream cash generation,Adjusted EBITDA for the three months ended June 30 2026,5.07,B USD,cash-generation,Energy Transfer generated source-backed Q2 adjusted EBITDA of 5.07B USD while raising full-year adjusted EBITDA guidance.,Adjusted EBITDA is non-GAAP and not project-level return proof.,ET 2026 Q2 10-Q debt footnote and segment tables
CIESTE-002,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,midstream cash generation,"Distributable Cash Flow attributable to partners, as adjusted",2.59,B USD,cash-generation,Energy Transfer generated source-backed Q2 DCF attributable to partners of 2.59B USD.,DCF is partnership-level cash generation and does not allocate returns to individual projects.,ET 2026 Q2 10-Q cash-flow table
CIESTE-003,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,growth versus maintenance capex,Growth capital expenditures in the second quarter of 2026,1.10,B USD,growth-capex-visible,Energy Transfer is actively funding expansion capex rather than only sustaining its system.,The release does not assign the full 1.10B USD to named projects.,ET project schedule and capex table
CIESTE-004,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,growth versus maintenance capex,Maintenance capital expenditures in the second quarter of 2026,307,M USD,maintenance-capex-visible,Energy Transfer separates maintenance capital from growth capital in the Q2 source package.,The release headline maintenance number differs from the DCF reconciliation maintenance-capex deduction because definitions and consolidated/noncontrolling adjustments must be reconciled.,ET 2026 Q2 10-Q capital expenditure disclosure
CIESTE-005,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,FY 2026 guidance,growth-capex guide,Expected investment in growth capital for 2026,5.6-5.9,B USD,growth-capex-guide,Energy Transfer guides to a multi-billion-dollar 2026 growth-capex program.,Guidance is not spent capital and should be tracked against year-end cash-flow and capex tables.,FY 2026 10-K and Q4 release
CIESTE-006,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,midstream throughput,NGL transportation volumes,13,% YoY,throughput-growth,Energy Transfer's NGL transportation volumes grew 13% year over year and set a partnership record.,A percentage increase does not by itself show capacity utilization or project economics.,ET 2026 Q2 10-Q segment throughput table
CIESTE-007,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,midstream throughput,NGL exports,25,% YoY,throughput-growth,Energy Transfer's NGL exports grew 25% year over year and set a partnership record.,Export growth needs terminal-level volumes and margin bridge before it becomes project-return proof.,ET NGL and refined products segment table
CIESTE-008,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Nederland NGL export expansion,Nederland ethane export capacity addition,240000,bpd,project-capacity,Energy Transfer announced a fully subscribed Nederland expansion adding 240000 bpd of ethane export capacity.,Capacity and subscription are stronger than narrative demand but still need project cost and contract economics.,Nederland project filing or investor presentation
CIESTE-009,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Nederland NGL export expansion,Nederland LPG capacity addition,55000,bpd,project-capacity,Energy Transfer's Nederland expansion also adds 55000 bpd of LPG capacity plus pipeline and dock work.,The source does not provide project cost or expected placed-in-service date in the extracted row.,Nederland project filing or investor presentation
CIESTE-010,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Lone Star Express NGL takeaway,Lone Star Express incremental Permian NGL takeaway capacity,>90000,bpd,in-service-capacity,Energy Transfer completed Lone Star Express upgrades adding more than 90000 bpd of Permian NGL takeaway capacity.,Completion and capacity are visible but not enough to prove incremental EBITDA or payback.,ET Q2 10-Q segment margin bridge
