"acquisition_id","source_id","company","ticker","period","document_type","local_path","bytes","sha256_prefix","file_type","fetch_status","content_probe","next_extraction"
"CFPGR-001","oneok-2026q2-financial-reports-page","ONEOK, Inc.","OKE","Q2 2026","IR financial reports page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-financial-reports-page.html","59964","cea3340977fe9979","html","fetched","HTML document fetched","Q2 document slots; financial tables; presentation; webcast"
"CFPGR-002","oneok-2026q2-earnings-release-page","ONEOK, Inc.","OKE","Q2 2026","IR earnings release page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","114893","5db4b3a7b52383d6","html","fetched","HTML document fetched","capex; guidance; adjusted EBITDA; volume growth; project language"
"CFPGR-003","mastec-2026q2-earnings-presentation","MasTec, Inc.","MTZ","Q2 2026","earnings presentation PDF","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-earnings-presentation.pdf","1418293","c296b3a6edd1c58f","pdf","fetched","valid PDF header","segment revenue; segment EBITDA; backlog; cash flow; leverage; liquidity"
"CFPGR-004","mastec-2026q2-10q-page","MasTec, Inc.","MTZ","Q2 2026","10-Q filing page","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-10q-filing-page.html","32758","128707c9ace56d66","html","fetched","HTML document fetched","backlog definition; contract assets; contract liabilities; segment notes; risks"
"CFPGR-005","plains-2026q2-earnings-presentation","Plains All American Pipeline, L.P.","PAA","Q2 2026","earnings presentation PDF","raw/primary-sources/capital-flow/power-grid-pilot/plains/q2-2026/plains-2026-q2-earnings-presentation.pdf","1251260","d2ab3ddfb4cfbfcc","pdf","fetched","valid PDF header","Cactus III; growth capex; crude transition; EBITDA guidance; leverage"
"CFPGR-006","plains-2026q2-earnings-release","Plains All American Pipeline, L.P.","PAA","Q2 2026","earnings release PDF","raw/primary-sources/capital-flow/power-grid-pilot/plains/q2-2026/plains-2026-q2-earnings-release.pdf","883537","ad616aa908f99c98","pdf","fetched","valid PDF header","debt reduction; adjusted EBITDA; growth capex; Cactus III; free cash flow"
"CFPGR-007","targa-2026q2-earnings-supplement","Targa Resources Corp.","TRGP","Q2 2026","earnings supplement PDF","raw/primary-sources/capital-flow/power-grid-pilot/targa/q2-2026/targa-2026-q2-earnings-supplement.pdf","1238880","115a70ac8dc6e301","pdf","fetched","valid PDF header","volume denominators; operating margin bridge; growth capital; maintenance capital"
"CFPGR-008","nextera-2026q2-earnings-presentation","NextEra Energy, Inc.","NEE","Q2 2026","earnings presentation PDF","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-presentation.pdf","1946378","da73023231c82a99","pdf","fetched","valid PDF header","FPL capital; Energy Resources backlog; large-load strategy; in-service projects"
"CFPGR-009","nextera-2026q2-earnings-release","NextEra Energy, Inc.","NEE","Q2 2026","earnings release PDF","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-release.pdf","570214","e4df39e6eb0204f9","pdf","fetched","valid PDF header","FPL capex; regulatory capital employed; Energy Resources backlog; projects in service; large-load interest"
"CFPGR-010","nextera-2026q2-remarks","NextEra Energy, Inc.","NEE","Q2 2026","prepared remarks PDF","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-prepared-remarks.pdf","170832","d6345a35e6ef99b4","pdf","fetched","valid PDF header","management explanation; demand; backlog; regulatory recovery; large-load risk"
