evidence_id,candidate,evidence_type,period,value,unit,source_artifact,interpretation,status,next_join
IUP-001,Industrial uptime,theme,2026,"physical-work-continuity",qualitative,combined-investment-research-industrial-uptime-move-on-admission-2026-09-17.md,"Demand is valuable only when equipment parts labor and logistics arrive together",qualified,"named customer or project demand"
IUP-002,WESCO,reported sales,FY2025,23.5,USD billions,industrial-goods/industrial-equipment-components/wesco-international-inc/company-analysis.md,"Scaled infrastructure distribution platform",observed,"same-period sales to collection and gross-profit bridge"
IUP-003,WESCO,end-market demand,FY2025,4.3,USD billions data-center sales,industrial-goods/industrial-equipment-components/wesco-international-inc/company-analysis.md,"Data-center demand is a visible channel exposure",observed,"project-level conversion and customer funding"
IUP-004,WESCO,reported revenue,H1 2026,12745.2,USD millions,raw/sec/industrial-goods/industrial-equipment-components/wesco-international-inc/2026-q2-10q.html,"Period denominator for cash conversion",observed,"gross profit and same-period collection"
IUP-005,WESCO,reported operating income,H1 2026,675.7,USD millions,raw/sec/industrial-goods/industrial-equipment-components/wesco-international-inc/2026-q2-10q.html,"Operating result before cash and claim allocation",observed,"margin quality and estimate/timing review"
IUP-006,WESCO,operating cash flow,H1 2026,275.1,USD millions,raw/sec/industrial-goods/industrial-equipment-components/wesco-international-inc/2026-q2-10q.html,"OCF is below operating income and requires working-capital explanation",observed,"receivables inventory payable and acquisition bridge"
IUP-007,WESCO,productive-asset spend,H1 2026,51.6,USD millions,raw/sec/industrial-goods/industrial-equipment-components/wesco-international-inc/2026-q2-10q.html,"Mechanical OCF less spend is 223.5M",observed,"maintenance versus growth classification"
IUP-008,WESCO,operating working-capital change,H1 2026,314.8,USD millions use,combined-investment-research-industrial-uptime-conversion-screen-2026-09-17.md,"Receivables and inventory grew faster than payables in the simple balance bridge",diagnostic,"settlement-date and supplier-finance reconciliation"
IUP-009,Fastenal,embedded-channel penetration,FY2025,61.4,percent digital footprint,industrial-goods/industrial-supply/fastenal-company/company-analysis.md,"Physical replenishment is increasingly workflow-integrated",observed,"service cost and retention evidence"
IUP-010,Fastenal,reported revenue,H1 2026,4588.6,USD millions,raw/sec/industrial-goods/industrial-supply/fastenal-company/2026-q2-10q.html,"Period denominator for cash conversion",observed,"gross profit and customer mix"
