queue_id,linked_buildout_rows,company_or_group,subtheme,priority,source_documents,table_or_section_to_extract,metrics_to_capture,definition_or_footnote_risk,acceptance_rule,output_fields,next_artifact,status
CIPC-001,"CIB-004; CIB-014","Energy Transfer and Cheniere","Energy infrastructure","High","2025 10-Ks; 2026 10-Qs; earnings releases; investor presentations; debt footnotes; project updates; FERC/project authorization sources where available","growth versus maintenance capex; project schedule; contracted volume; in-service milestones; debt and project-finance tables","growth capex; maintenance capex; project name; capacity added; bpd; mtpa; cargoes; contracted term; expected in-service date; project cost; funding source; debt maturity; distributable cash flow","Energy Transfer separates growth and maintenance capex, while Cheniere's cash model mixes growth spend, buybacks, dividends, debt management, and derivative noise.","Accept only if project-level capacity, status, and cash/funding evidence are kept separate from headline EBITDA or DCF.","queue_id; source_id; company; project; capex_type; amount; unit; period; capacity_metric; status_bucket; funding_metric; cash_metric; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-002,"CIB-009; CIB-002","Nucor and Steel Dynamics","Materials and fabrication","High","2025 10-Ks; 2026 10-Qs; earnings releases; capex notes; segment footnotes; project updates","capex by project; tons shipped; utilization; fabrication backlog; aluminum/steel expansion status; operating cash flow bridge","growth capex; maintenance capex; project budget; tons shipped; average selling price; segment operating income; backlog period; utilization; cash from operations; debt; liquidity","Steel pricing, scrap spreads, project timing, and cyclical restocking can mimic structural buildout demand.","Accept only if capex, throughput, pricing/spread, and cash-flow evidence are extracted as separate columns.","queue_id; source_id; company; project_or_segment; capex_amount; capex_type; tons_or_backlog; price_or_spread; cash_flow; debt_metric; structural_claim_flag; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-003,"CIB-013","United Rentals","Access and equipment utilization","High","2025 annual report; 2026 10-Qs; earnings releases; investor presentations; debt footnotes","gross and net rental capex; OEC; fleet productivity; utilization; proceeds from used-equipment sales; debt and liquidity","gross rental capex; net rental capex; original equipment cost; fleet age; fleet productivity; rental revenue; specialty mix; re-rent; used-equipment proceeds; leverage; liquidity","High free cash flow can coexist with very high fleet reinvestment; specialty and re-rent mix can distort margin quality.","Accept only if fleet investment, utilization/productivity, cash flow, and leverage are all tied to the same period.","queue_id; source_id; period; gross_rental_capex; net_rental_capex; oec; fleet_productivity; utilization; operating_cash_flow; free_cash_flow; debt_or_leverage; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-004,"CIB-005","Sterling Infrastructure","Specialty construction","High","2025 10-K; 2026 10-Qs; earnings releases; investor decks; acquisition notes","signed backlog; combined backlog; unsigned awards; future-phase opportunities; E-Infrastructure mix; contract margins; working capital; acquisition contribution","signed backlog; combined backlog; future-phase work; mission-critical percentage; data-center/manufacturing/semiconductor mix; organic versus acquired growth; revenue; adjusted EBITDA; cash conversion; contract assets/liabilities","Combined backlog and future-phase opportunity pools are lower-evidence than signed backlog, and acquisitions can make organic demand look stronger than it is.","Accept only if each visibility bucket is separated and acquisition contribution is tagged.","queue_id; source_id; period; visibility_bucket; amount; mission_critical_share; organic_or_acquired; revenue; adjusted_ebitda; cash_metric; margin_or_contract_risk; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-005,"CIB-007; CIB-001; CIB-010","AECOM, Jacobs, and KBR","Engineering and project delivery","High","2025 10-Ks; 2026 10-Qs; earnings releases; investor presentations; backlog footnotes; contract-assets tables; debt footnotes","backlog definition; funded/unfunded awards; book-to-burn; contract assets/liabilities; DSO; operating cash flow; free cash flow; debt; contract type","backlog; funded backlog; options; book-to-burn; revenue; NSR or segment revenue; contract type; DSO; contract assets; contract liabilities; operating cash flow; free cash flow; debt; liquidity","Service backlog may be cancellable, unfunded, pass-through-heavy, or delayed by working-capital/claims timing.","Accept only if backlog quality, contract structure, and cash conversion are captured together rather than using backlog alone.","queue_id; source_id; company; period; backlog_metric; funded_status; contract_type; revenue_metric; cash_conversion_metric; dso_or_working_capital; debt_metric; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-006,"CIB-003; CIB-006","Eaton and Teledyne","Electrical and power equipment","High","2025 10-Ks; 2026 10-Qs; earnings releases; investor presentations; acquisition notes; segment footnotes","orders; backlog; capacity investments; acquisitions; segment cash conversion; debt and leverage","orders; backlog; book-to-bill where available; capacity investment; acquisition price; debt issued or assumed; segment revenue; margin; operating cash flow; free cash flow; leverage","Data-center and AI language may be only part of the demand base; aerospace, defense, utilities, industrial, and sensing markets need separate tags.","Accept only if end-market tags and acquisition/capacity spend are separated from generic growth commentary.","queue_id; source_id; company; period; end_market; orders; backlog; capacity_spend; acquisition_amount; cash_flow; debt_or_leverage; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-007,"CIB-008","Knife River","Materials and fabrication","Medium","2025 10-K; 2026 10-Qs; earnings releases; acquisition notes; debt footnotes; DOT/public funding references where available","public-funded backlog; aggregate reserves; growth initiatives; acquisitions; greenfield expansion; project timing; leverage","backlog; public-funded percentage; reserves; growth initiative spend; acquisition spend; greenfield spend; net leverage; revenue; EBITDA; energy/freight cost; margin","Public-funded backlog improves evidence quality but does not eliminate timing, weather, energy-cost, or contracting-mix risk.","Accept only if publicly funded backlog, capital deployment, and quarterly conversion risks are extracted side by side.","queue_id; source_id; period; backlog; public_funded_share; growth_spend; acquisition_spend; greenfield_spend; leverage; margin_driver; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-008,"CIB-011","Verizon","Telecom network capex","High","2025 annual report; 2026 10-Qs; earnings releases; financial operating supplements; debt footnotes; Frontier acquisition filings","capex by category; network spend; spectrum/fiber integration; operating cash flow; free cash flow; unsecured debt; maturity schedule; acquisition funding","capital expenditures; capex category; operating cash flow; free cash flow; unsecured debt; net unsecured debt; debt maturities; subscriber adds; broadband adds; integration capex; spectrum/fiber notes","Telecom network traffic and subscriber growth do not automatically translate into attractive incremental returns; high debt changes the interpretation.","Accept only if capex, debt burden, subscriber/broadband additions, and free-cash-flow coverage are linked by period.","queue_id; source_id; period; capex_amount; capex_category; operating_cash_flow; free_cash_flow; debt_metric; maturity_metric; subscriber_metric; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-009,"CIB-015","ONE Gas","Energy infrastructure","High","2025 10-K; 2026 10-Qs; earnings releases; rate-case filings; state commission orders; capex plans; debt footnotes","capex and asset removal costs; system integrity; customer extensions; rate base; allowed ROE; rider/recovery mechanisms; debt/equity funding","capex; asset removal costs; system integrity spend; customer count; line extensions; rate base; authorized ROE; rate case status; rider recovery; debt issuance; equity issuance","Most capex may be safety, integrity, replacement, or compliance rather than growth; regulatory recovery determines economics.","Accept only if capex purpose and recovery mechanism are tagged separately.","queue_id; source_id; regulator_or_filing; period; capex_amount; capex_purpose; rate_base_metric; allowed_return; recovery_mechanism; funding_metric; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
CIPC-010,"CIB-012","Reliance Steel & Aluminum","Materials and fabrication","Medium","2025 10-K; 2026 10-Qs; earnings releases; inventory footnotes; receivables and debt footnotes","tons sold; processing share; average order size; inventory; receivables; capex; operating cash flow; revolver/debt use","tons sold; value-added processing share; average order size; delivery timing; inventory; receivables; capex; operating cash flow; free cash flow; revolver borrowings; debt","Service-center throughput can reflect pricing, inventory cycles, tariffs, or share gains, not only underlying project growth.","Accept only if volume, price, working capital, capex, and debt are extracted separately.","queue_id; source_id; period; tons_sold; processing_metric; order_metric; inventory; receivables; capex; cash_flow; debt_or_revolver; caveat","capital-flow-capital-intensive-project-cash-extraction-pass.md","ready"
