extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARJPMOF-001,JPMorgan Chase & Co.,JPM,FY2025,total net revenue,182.447B USD,USD,company-packet.md,"JPMorgan is visible as a very large ordinary-finance revenue machine across spread income, fees, markets, payments, banking, and related services.","Revenue scale does not prove customer health, loan repayment quality, or productive use of money.",source-visible-with-boundary
ARJPMOF-002,JPMorgan Chase & Co.,JPM,FY2025,net income,57.048B USD,USD,company-packet.md,The local annual packet shows very large reported profitability.,"Net income does not prove credit-loss durability, deposit-cost stability, or segment-level cash quality.",source-visible-with-boundary
ARJPMOF-003,JPMorgan Chase & Co.,JPM,FY2025 year-end,total assets,4.4249T USD,USD,company-packet.md; company-profile.md,JPMorgan is visible as a balance-sheet scale institution.,Asset scale does not prove asset quality or loss-adjusted return.,source-visible-with-boundary
ARJPMOF-004,JPMorgan Chase & Co.,JPM,FY2025 year-end,deposits,2.5593T USD,USD,company-packet.md,Deposits are visible as the funding base behind ordinary bank money movement.,"Deposit size does not prove deposit stickiness, low-cost funding, or deposit beta.",source-visible-with-boundary
ARJPMOF-005,JPMorgan Chase & Co.,JPM,FY2025,ROTCE,20%,percent,company-profile.md,The annual profile shows high reported return on tangible common equity.,ROTCE does not prove each business line earns durable returns after cycle losses.,source-visible-with-boundary
ARJPMOF-006,JPMorgan Chase & Co.,JPM,FY2025,record revenue framing,record revenue for the eighth consecutive year,descriptor,company-profile.md,Management framed JPMorgan as a compounding scale bank rather than a one-year recovery story.,"Record revenue framing can be helped by rates, markets, acquisitions, or cycle effects and is not proof of clean credit quality.",source-visible-with-boundary
ARJPMOF-007,JPMorgan Chase & Co.,JPM,FY2025,dividend increases,quarterly common dividend increased twice during 2025,descriptor,company-profile.md,Capital-return capacity is visible in the annual profile.,Dividend growth does not prove future capital surplus under stress or loss-cycle conditions.,source-visible-with-boundary
ARJPMOF-008,JPMorgan Chase & Co.,JPM,FY2025,shareholder-letter risk frame,"resilience, capital strength, geopolitical risk, commodity-price risk, inflation risk, and technology/product investment",descriptor,company-packet.md,"The company explicitly frames ordinary finance as exposed to macro, capital, risk, and technology forces.",Management risk framing is not a quantified stress test.,source-visible-with-boundary
ARJPMOF-009,JPMorgan Chase & Co.,JPM,Q4 2025,quarter evidence coverage,"SEC-backed earnings release, 2025 10-K, and earnings-call transcript on disk",source coverage,company-packet.md; company-profile.md; source-ledger.md,The ordinary-finance lane has a filed year-end source chain for JPMorgan.,"Source coverage does not itself extract credit-loss, NIM, card, deposit, or loan schedules.",source-visible-with-boundary
ARJPMOF-010,JPMorgan Chase & Co.,JPM,Q1 2026,markets and payments strength,record Markets revenue and continued Payments strength,descriptor,company-packet.md,The first 2026 quarter shows JPMorgan as both market-sensitive and payments-sensitive.,"Markets strength can be episodic, and payments strength does not prove credit-card repayment quality.",source-visible-with-boundary
ARJPMOF-011,JPMorgan Chase & Co.,JPM,Q2 2026,market activity and investment gains,very strong results helped by elevated market activity and gains tied to Visa and certain equity investments,descriptor,company-packet.md; company-profile.md,The latest local quarter shows balance-sheet and markets optionality.,Investment gains and market activity do not prove recurring ordinary-finance cash quality.,source-visible-with-boundary
ARJPMOF-012,JPMorgan Chase & Co.,JPM,FY2025 through Q2 2026,consumer and regulatory signals,consumer earning and spending with some weakening; active capital treatment and regulatory capital discussion,descriptor,company-packet.md; company-profile.md,"JPMorgan is a useful ordinary-finance sensor for consumer condition, credit, rates, capital, and regulation.","This does not prove delinquency, charge-off, allowance, funding-cost, or borrower-level stress without primary schedule extraction.",source-visible-with-boundary
