recon_id,reconciliation_layer,source_document,source_page_or_form,period,metric,value_usd,calculation,current_status,what_it_proves,what_it_does_not_prove,next_source,priority
CFFPLFCR-001,projected_revenue_requirement,DN 02560-2026 Epperson ALE-3,Form 1P,Jan-Dec 2027,total projected period revenue requirement,1138572247,distribution 1.059993109B plus transmission 78.579139M,projected-revenue-requirement-visible,Form 1P gives the total SPPCRC projected revenue requirement before true-up adjustments,It does not show rate-class billed dollars or collected cash,Actual/final true-up and billing determinant schedules,1
CFFPLFCR-002,trueup_adjustment,DN 02560-2026 Epperson ALE-3,Form 1P line 2,Jan-Dec 2027,estimated true-up over-recovery for current period,17107391,distribution 15.967538M plus transmission 1.139853M,trueup-offset-visible,Form 1P subtracts the current-period actual/estimated over-recovery from projected recovery,It is not a cash collection ledger or customer refund proof,Later true-up approval and collection/refund schedule,2
CFFPLFCR-003,trueup_adjustment,DN 02560-2026 Epperson ALE-3,Form 1P line 3,Jan-Dec 2027,final true-up over-recovery for prior period,16579976,distribution 15.475264M plus transmission 1.104712M,final-trueup-offset-visible,Form 1P subtracts the prior-period final over-recovery from projected recovery,It does not prove the true-up was billed or refunded in cash,Later factor order and actual collection/refund schedules,3
CFFPLFCR-004,total_recovery_reconciliation,DN 02560-2026 Epperson ALE-3 and DN 03227-2026 corrected ALE-3,Form 1P and corrected Form 5P,Jan-Dec 2027,jurisdictional amount to recover/refund and corrected Form 5P total,1104884879,1.138572247B less 17.107391M less 16.579976M equals 1.104884880B within 1 USD printed-table tolerance; corrected Form 5P printed total is 1.104884879B,total-recovery-reconciled,Corrected Form 5P allocates the same total recovery pool produced by Form 1P after true-up offsets,It does not allocate the recovery pool to Distribution Inspection receipts,Category allocation workpaper or rate-class/category billing support,4
CFFPLFCR-005,rate_class_allocation,DN 03227-2026 corrected ALE-3,corrected Form 5P,Jan-Dec 2027,demand/customer-related cost pool,76334573,corrected Form 5P column 3 total,corrected-factor-pool-visible,Corrected Form 5P separates the transmission/4CP demand-related factor pool,It does not show actual demand billing or collected cash by customer,Actual billing determinants by rate class/month,5
CFFPLFCR-006,rate_class_allocation,DN 03227-2026 corrected ALE-3,corrected Form 5P,Jan-Dec 2027,GNCP demand/customer and energy-related cost pool,1028550306,corrected Form 5P column 4 total,corrected-factor-pool-visible,Corrected Form 5P separates the larger distribution/GNCP/customer-related factor pool,It does not show actual customer usage or collections,Actual billing determinants and collection schedules,6
CFFPLFCR-007,category_family_reconciliation,DN 02560-2026 Epperson ALE-3,Form 2P and Form 3P,Jan-Dec 2027,overhead hardening projected revenue requirement,532909725,Form 1P line 1a; Form 2P overhead O&M 6.516108M plus Form 3P overhead capital 526.393618M equals 532.909726M within 1 USD tolerance,category-family-reconciled,Overhead hardening category family reconciles from O&M plus capital to Form 1P,It does not allocate customer receipts to Distribution Inspection,Program/category receipt allocation workpaper,7
CFFPLFCR-008,distribution_inspection_category,DN 02560-2026 Epperson ALE-3,Form 2P and Form 3P Capital,Jan-Dec 2027,Distribution Inspection O&M projected recoverable expense,4140413,Form 2P Distribution Inspection Program total,category-recovery-visible,Distribution Inspection has a projected O&M recovery row,It is not a rate-class billing or receipt row,Category-to-rate-class allocation schedule,8
CFFPLFCR-009,distribution_inspection_category,DN 02560-2026 Epperson ALE-3,Form 3P Capital,Jan-Dec 2027,Distribution Inspection capital projected recoverable expense,28099573,Form 3P Capital 601 Distribution Inspection Program total,category-recovery-visible,Distribution Inspection has a projected capital recovery row,It is not source-of-funds or earned-return proof,Category capital workpaper and source-of-funds schedule,9
CFFPLFCR-010,distribution_inspection_category,DN 02560-2026 Epperson ALE-3,Form 2P plus Form 3P Capital,Jan-Dec 2027,Distribution Inspection combined projected recoverable expense,32239986,4.140413M O&M plus 28.099573M capital,category-combined-recovery-visible,Distribution Inspection can be quantified as a projected category recovery amount,It does not prove that 32.239986M USD was billed or collected from customers,Distribution Inspection category receipt ledger or allocation workpaper,10
CFFPLFCR-011,diagnostic_share,derived from DN 02560-2026 Form 1P and category rows,derived diagnostic,Jan-Dec 2027,Distribution Inspection share of total projected revenue requirement,0,32.239986M divided by 1.138572247B equals 2.831615 percent,diagnostic-share-only,Shows scale of Distribution Inspection within total projected revenue requirement,It is not a regulatory allocation method and cannot be used as receipt proof,Official category allocation or receipt workpaper,11
CFFPLFCR-012,proof_verdict,current local FPL SPPCRC packet,Form 1P/2P/3P/5P chain,Jan-Dec 2027,factor-to-category proof verdict,0,Total recovery pool reconciles; Distribution Inspection category is quantified; customer cash remains unallocated,hold-category-cash-not-proved,The current packet proves total factor pool and category recovery can coexist in the same filing family,It does not prove Distribution Inspection-specific billed revenue collected cash or earned return,Billing determinants by rate class plus category receipt allocation and later actual collection schedules,12
