inspection_row_id,rank,cusip,identifier_quality,match_status,issuer_or_description_sample,disposal_consideration_usd,year_end_book_value_usd,disposal_book_value_at_disposal_usd,disposal_realized_gain_loss_usd,disposal_interest_or_dividends_received_usd,first_disposal_date,last_disposal_date,top_purchaser_or_disposition_type,economic_disposition_class,router_or_counterparty_signal,candidate_tier,proof_upgrade_test,disproof_or_hold_test,safe_interpretation,boundary,next_action
CFAASCBCHI-001,1,L0187*-AA-0,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,AP ALKAIOS (LUXEMBOURG) SARL AP ALKAIOS SENIOR,2594729570.000000,2636915762.000000,2594729570.000000,0.000000,2594729570.000000,09/04/2025,09/04/2025,PRIVATE 11/25/2025 Tax Free Exchange,tax-free-exchange-hold,no-major-router-label-detected,tier-2-same-cusip-noncash-or-transfer-hold,prove whether exchange generated cash or only replacement security; inspect lot rows and statutory Part 5 treatment,hold if consideration represents exchange accounting rather than spendable cash,"same-CUSIP bridge exists, but disposition label may represent exchange, withdrawal, or transfer rather than realized cash","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-002,2,G7741@-AC-4,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,SVF II Finco Cayman LP SVF II Finco (Cayman) LP,2089548152.000000,1292265570.000000,2053974339.000000,0.000000,22012262.000000,09/09/2025,12/31/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"reconcile paydown consideration to principal reduction, remaining year-end book value, and interest received","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-003,3,L1304@-AB-2,statutory-private-or-marker-cusip,disposal-only-cusip-visible,BRIDGEPOINT EUROPE VI FINANCE Bridgepoint NAV Euro 5.518% 06/25/28,1313529575.000000,0.000000,1313494764.000000,0.000000,13056404.000000,06/19/2025,11/28/2025,PRIVATE 08/29/2025 Tax Free Exchange,tax-free-exchange-hold,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields",hold if consideration represents exchange accounting rather than spendable cash,"named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-004,4,00264#-AB-3,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,AP Aristotle Holdings LLC Aristotle Sen 5.25% 28 Feb 42,782620834.000000,300834391.000000,6588486.000000,0.000000,11701981.000000,01/01/2025,12/15/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"reconcile paydown consideration to principal reduction, remaining year-end book value, and interest received","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-005,5,20633K-AA-6,standard-cusip-like,disposal-only-cusip-visible,Concord Music Royalties LLC TUNES 2022-1A A2 6.500% 01/20/73,624910660.000000,0.000000,615700258.000000,0.000000,29547917.000000,05/13/2025,07/21/2025,Various,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-006,6,69346Y-AP-8,standard-cusip-like,disposal-only-cusip-visible,Pk Airfinance Paf 20 PK AIRFINANCE 2020 B1-F 3.460% 01/20/35,497703042.000000,0.000000,702412.000000,0.000000,11115022.000000,01/01/2025,10/01/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-007,7,00196#-AA-8,statutory-private-or-marker-cusip,disposal-only-cusip-visible,AOP Finance Partners LP AOP 6.132% 03/31/41,451858830.000000,0.000000,61813136.000000,0.000000,31093048.000000,07/30/2025,12/30/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-008,8,69346Y-AQ-6,standard-cusip-like,disposal-only-cusip-visible,Pk Airfinance Paf 20 PK AIRFINANCE 2020 B2-F 3.750% 01/20/35,434184002.000000,0.000000,710800.000000,0.000000,15422578.000000,10/01/2025,10/01/2025,Various,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-009,9,G2964#-AB-5,statutory-private-or-marker-cusip,disposal-only-cusip-visible,AP Grange Holdings LLC AP Grange Tranche B 5.000% 03/20/45,430069386.000000,0.000000,15106255.000000,0.000000,19743700.000000,01/01/2025,01/01/2025,Security Withdraw,security-withdrawal-hold,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields",hold if row is withdrawal or transfer without sale/repayment cash,"named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-010,10,09261H-B@-5,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,Blackstone Private Credit Fund SR NTS SER D,401583100.000000,402252442.000000,401583100.000000,0.000000,401583100.000000,02/25/2025,02/25/2025,Direct 03/25/2025 Tax Free Exchange,tax-free-exchange-hold,Blackstone,tier-2-same-cusip-noncash-or-transfer-hold,prove whether exchange generated cash or only replacement security; inspect lot rows and statutory Part 5 treatment,hold if consideration represents exchange accounting rather than spendable cash,"same-CUSIP bridge exists, but disposition label may represent exchange, withdrawal, or transfer rather than realized cash","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-011,11,09261H-B#-3,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,Blackstone Private Credit Fund SR NTS SER D,395864183.000000,396486416.000000,395864183.000000,0.000000,395864183.000000,02/25/2025,02/25/2025,Direct 03/25/2025 Tax Free Exchange,tax-free-exchange-hold,Blackstone,tier-2-same-cusip-noncash-or-transfer-hold,prove whether exchange generated cash or only replacement security; inspect lot rows and statutory Part 5 treatment,hold if consideration represents exchange accounting rather than spendable cash,"same-CUSIP bridge exists, but disposition label may represent exchange, withdrawal, or transfer rather than realized cash","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-012,12,G7741@-AB-6,statutory-private-or-marker-cusip,disposal-only-cusip-visible,SoftBank Vision Fund II A 6.000% 12/18/25,372922731.000000,0.000000,0.000000,0.000000,16532653.000000,09/30/2025,09/30/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-013,13,28655*-AA-7,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,Eliant Invest Holding LP. B,358251536.000000,23238692.000000,1806570.000000,-18.000000,6206779.000000,02/03/2025,12/24/2025,Various,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"inspect source rows, counterparty label, numeric columns, and lot-level continuity before promotion","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-014,14,00024D-AL-7,standard-cusip-like,holding-and-disposal-same-cusip-visible,AA Infrastructure Fund 2 LLC AAIF 2024-1A A1D,354250000.000000,354250000.000000,347965250.000000,0.000000,12777598.000000,03/19/2025,08/12/2025,Tax Free Exchange,tax-free-exchange-hold,no-major-router-label-detected,tier-2-same-cusip-noncash-or-transfer-hold,prove whether exchange generated cash or only replacement security; inspect lot rows and statutory Part 5 treatment,hold if consideration represents exchange accounting rather than spendable cash,"same-CUSIP bridge exists, but disposition label may represent exchange, withdrawal, or transfer rather than realized cash","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-015,15,Q7457#-AA-9,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,Turbin Finance Trust 2024-1 A,352732412.000000,193835329.000000,116418744.000000,0.000000,9772083.000000,02/04/2025,12/04/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"reconcile paydown consideration to principal reduction, remaining year-end book value, and interest received","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-016,16,91836A-AA-4,standard-cusip-like,disposal-only-cusip-visible,VMC Finance 2023-PV1 LLC VMC 2023-PV1 A 6.498% 01/19/40,295311000.000000,0.000000,452305.000000,0.000000,11060678.000000,07/21/2025,07/21/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-017,17,00263@-AA-8,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,AP Moon II Holdings LLC. A,288906032.000000,280963968.000000,0.000000,0.000000,8932913.000000,06/17/2025,12/15/2025,Tax Free Exchange,tax-free-exchange-hold,no-major-router-label-detected,tier-2-same-cusip-noncash-or-transfer-hold,prove whether exchange generated cash or only replacement security; inspect lot rows and statutory Part 5 treatment,hold if consideration represents exchange accounting rather than spendable cash,"same-CUSIP bridge exists, but disposition label may represent exchange, withdrawal, or transfer rather than realized cash","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-018,18,02300A-AA-8,standard-cusip-like,holding-and-disposal-same-cusip-visible,AMAPS 1 LLC AMAPS 1 LLC - Tranche A Note,268000000.000000,1917500000.000000,0.000000,0.000000,3986842.000000,10/24/2025,10/24/2025,Apollo Capital Markets Partner,market-sale-or-counterparty-cash-candidate,Apollo,tier-1-same-cusip-cash-candidate,"inspect source rows, counterparty label, numeric columns, and lot-level continuity before promotion","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
