boundary_family,boundary_type,company_name,ticker,sector,industry,company_packet_path,customer_return_anchor,control_center_of_gravity,marketplace_role,best_comparison_pair,main_analytical_use,last_updated,status
"Owned-demand versus marketplace-extended boundary","True owned-demand system","Levi Strauss & Co.",LEVI,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/levi-strauss-co/company-packet.md","heritage fit and wardrobe authority","brand presentation pricing merchandising and first-party demand","minor or indirect","Gap; Ulta","separate brand-owned demand from assortment-led interface control",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","True owned-demand system","Crocs, Inc.",CROX,"Consumer Goods","Textile - Apparel Footwear & Accessories","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-footwear-accessories/crocs-inc/company-packet.md","comfort ease and recognizable mass identity","direct brand relationship merchandising and customer-file deepening","limited relative to brand core","Deckers; Amazon","separate owned comfort demand from interface control",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","True owned-demand system","Warby Parker Inc.",WRBY,Healthcare,"Medical Instruments & Supplies","/home/manishmehta/ui-projects/annual-report-research/extracted/healthcare/medical-instruments-supplies/warby-parker-inc/company-packet.md","fit exams contacts and direct vision-care relationship","service-linked brand control customer file and category extension","minimal relative to direct service relationship","Ulta","separate service-linked brand demand from assortment-owned interface demand",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Hybrid owned-demand with marketplace-assisted reach","YETI Holdings, Inc.",YETI,"Consumer Goods",Sporting Goods,"/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/sporting-goods/yeti-holdings-inc/company-packet.md","premium utility gifting and direct brand trust","premium hardgoods demand direct reach and category authority","assists owned demand through marketplace reach","Ulta; Amazon","separate assisted owned demand from interface-first control",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Hybrid owned-demand with marketplace-assisted reach","NIKE, Inc.",NKE,Retail,"Apparel, Shoe & Accessory Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/apparel-shoe-accessory-stores/nike-inc/company-packet.md","athletic identity and performance authority","global brand storytelling direct surfaces and customer-file depth","channel widener rather than relationship core","Levi; Amazon","separate brand control from interface scale",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Hybrid owned-demand with marketplace-assisted reach","Deckers Outdoor Corp.",DECK,"Consumer Goods","Textile - Apparel Footwear & Accessories","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-footwear-accessories/deckers-outdoor-corp/company-packet.md","performance plus comfort attachment","brand mix product authority and channel balance","assists product authority rather than replacing it","Crocs; Birkenstock","compare different owned-demand widening paths",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Hybrid owned-demand with marketplace-assisted reach","Birkenstock Holding plc",BIRK,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/birkenstock-holding-plc/company-packet.md","comfort body alignment and premium utility","product authority and category control","partner sell-through assists owned demand","Deckers; YETI","compare utility-led hybrid control paths",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Hybrid owned-demand with marketplace-assisted reach","Victoria's Secret & Co.",VSCO,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/victorias-secret-co/company-packet.md","fit beauty adjacency and self-presentation","category authority emotional marketing and direct surfaces","partner network widens direct demand","Tapestry; Ulta","separate identity-led owned demand from assortment-led interface control",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Hybrid owned-demand with marketplace-assisted reach","Tapestry, Inc.",TPR,"Consumer Goods","Textile - Apparel Clothing","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-clothing/tapestry-inc/company-packet.md","visible status handbags and emotional brand connection","direct brand heat data and house-of-brands control","partner distribution widens house-of-brands demand","Victoria's Secret; Amazon","separate brand heat from interface utility",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Marketplace-extended or interface-control system","Ulta Beauty, Inc.",ULTA,Services,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/services/specialty-retail-other/ulta-beauty-inc/company-packet.md","assortment authority discovery replenishment services and loyalty","traffic discovery services media and category interface control","central to the economic model","Warby Parker; YETI","separate assortment-led interface demand from service-linked or product-owned demand",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Marketplace-extended or interface-control system","Amazon.com, Inc.",AMZN,Retail,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/specialty-retail-other/amazoncom-inc/company-packet.md","search utility Prime fulfillment and broad account convenience","interface demand seller services ads and ecosystem utility","central to the economic model","Walmart; YETI","separate interface ownership from merchanting or brand-owned demand",2026-08-10,in-progress
"Owned-demand versus marketplace-extended boundary","Marketplace-extended or interface-control system","eBay Inc.",EBAY,"Consumer Goods","Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/internet-service-providers/ebay/company-packet.md","search discovery resale trust and seller-supply depth","traffic discovery trust features and seller economics","central to the economic model","Etsy; Levi","separate seller-network demand from classic brand-owned demand",2026-08-10,in-progress
