force_slug,theme_slug,theme_memo,sector,industry,company,ticker,priority,why_it_belongs
the-ai-rewiring,technology-ai-platform-split,analysis/themes/technology-ai-platform-initial-theme-memo.md,Technology,Application Software,Microsoft Corporation,MSFT,high,Enterprise AI platform and productivity stack winner with cloud and copilots as control points
the-ai-rewiring,technology-ai-platform-split,analysis/themes/technology-ai-platform-initial-theme-memo.md,Technology,Application Software,Adobe Inc.,ADBE,high,Creative and document workflow AI monetization inside incumbent subscription software
the-ai-rewiring,technology-ai-platform-split,analysis/themes/technology-ai-platform-initial-theme-memo.md,Technology,Information Technology Services,"ServiceNow, Inc.",NOW,high,Workflow infrastructure and AI control-tower layer for enterprise process orchestration
the-ai-rewiring,technology-ai-platform-split,analysis/themes/technology-ai-platform-initial-theme-memo.md,Technology,Information Technology Services,Accenture plc,ACN,medium,Services and implementation layer monetizing enterprise AI deployment rather than model ownership
the-ai-rewiring,cultural-value-trust-and-automation,analysis/themes/cultural-value-trust-and-automation-initial-theme-memo.md,Technology,Information Technology Services,"ServiceNow, Inc.",NOW,high,Automation adoption is occurring through trusted enterprise workflow systems
the-ai-rewiring,cultural-value-trust-and-automation,analysis/themes/cultural-value-trust-and-automation-initial-theme-memo.md,Technology,Information Technology Services,Accenture plc,ACN,medium,Large enterprises still need human execution and change management around AI adoption
the-ai-rewiring,cultural-value-trust-and-automation,analysis/themes/cultural-value-trust-and-automation-initial-theme-memo.md,Technology,Consumer Services,Apple Inc.,AAPL,medium,Trusted consumer-device ecosystem remains a durable distribution surface for automation features
the-compute-super-cycle,technology-ai-platform-split,analysis/themes/technology-ai-platform-initial-theme-memo.md,Technology,Semiconductor - Specialized,NVIDIA Corporation,NVDA,high,Primary accelerated-computing beneficiary and pricing-power center of the AI infrastructure buildout
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Technology,Semiconductor - Specialized,NVIDIA Corporation,NVDA,high,Captures concentrated capex spending by hyperscalers and AI infrastructure buyers
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Technology,Internet Information Providers,Alphabet Inc.,GOOGL,medium,Hyperscale platform living with and funding higher AI infrastructure intensity
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Technology,Application Software,Microsoft Corporation,MSFT,high,Cloud leader funding and monetizing AI capex at platform scale
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Technology,Information Technology Services,Dell Technologies Inc.,DELL,medium,Shows the AI buildout spilling into full-stack enterprise hardware and server systems
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Real Estate,REIT - Specialty Real Estate,Equinix Inc.,EQIX,high,Interconnection-dense data-center campuses convert AI and cloud investment into property-level infrastructure concentration
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Real Estate,REIT - Office Real Estate,Digital Realty Trust Inc.,DLR,high,Powered-capacity development and hyperscale leasing make digital real estate part of the same compute capex race
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Real Estate,REIT - Industrial Real Estate,Prologis Inc.,medium,Strategic land and power-adjacent logistics assets gain option value from the same infrastructure buildout
