count	path
29	extracted/consumer-goods/confectioners/mondelez-international/source-ledger.md
29	extracted/consumer-goods/confectioners/mondelez-international/company-packet.md
25	extracted/utilities/other-utilities/nrg-energy-inc/source-ledger.md
24	extracted/utilities/other-utilities/nrg-energy-inc/company-packet.md
24	extracted/consumer-goods/processed-packaged-goods/campbell-soup-company/source-ledger.md
23	extracted/utilities/electric-utilities/american-electric-power-company-inc/source-ledger.md
23	extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md
23	extracted/utilities/diversified-utilities/fortis-inc/source-ledger.md
23	extracted/utilities/diversified-utilities/fortis-inc/company-packet.md
23	extracted/services/staffing-employment-services/robert-half-inc/source-ledger.md
23	extracted/services/lodging/wyndham-hotels-resorts-inc/source-ledger.md
23	extracted/consumer-goods/processed-packaged-goods/general-mills-inc/source-ledger.md
23	extracted/consumer-goods/beverages-soft-drinks/the-coca-cola-company/source-ledger.md
22	extracted/utilities/diversified-utilities/constellation-energy-corporation/source-ledger.md
22	extracted/services/staffing-employment-services/robert-half-inc/company-packet.md
22	extracted/services/lodging/wyndham-hotels-resorts-inc/company-packet.md
21	extracted/utilities/diversified-utilities/constellation-energy-corporation/company-packet.md
21	extracted/technology/security-software-services/zscaler-inc/source-ledger.md
21	extracted/technology/multimedia-graphics-software/take-two-interactive-software-inc/source-ledger.md
21	extracted/technology/multimedia-graphics-software/take-two-interactive-software-inc/company-packet.md
21	extracted/technology/internet-software-services/roblox-corp/source-ledger.md
21	extracted/technology/internet-software-services/roblox-corp/company-packet.md
21	extracted/industrial-goods/residential-construction/d-r-horton-inc/source-ledger.md
21	extracted/industrial-goods/heavy-construction/primoris-services-corporation/source-ledger.md
21	extracted/consumer-goods/toys-games-hobbies/hasbro-inc/source-ledger.md
21	extracted/consumer-goods/toys-games-hobbies/hasbro-inc/company-packet.md
21	extracted/consumer-goods/processed-packaged-goods/campbell-soup-company/company-packet.md
21	extracted/consumer-goods/beverages-soft-drinks/the-coca-cola-company/company-packet.md
20	extracted/technology/security-software-services/zscaler-inc/company-packet.md
20	extracted/services/retail-catalog-mail-order-houses/chewy-inc/company-packet.md
20	extracted/real-estate/reit-hotel-motel/host-hotels-resorts-inc/source-ledger.md
20	extracted/consumer-goods/textile-apparel-footwear-accessories/deckers-outdoor-corp/source-ledger.md
20	extracted/consumer-goods/processed-packaged-goods/general-mills-inc/company-packet.md
20	extracted/basic-materials/agricultural-chemicals/cf-industries-holdings-inc/source-ledger.md
19	extracted/utilities/electric-utilities/nextera-energy-inc/source-ledger.md
19	extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md
19	extracted/utilities/electric-utilities/exelon-corporation/source-ledger.md
19	extracted/utilities/electric-utilities/exelon-corporation/company-packet.md
19	extracted/utilities/electric-utilities/edison-international/source-ledger.md
19	extracted/utilities/electric-utilities/edison-international/company-packet.md
