comparison_case,lane,company_name,role_in_case,best_current_ordering,primary_distinction,main_reuse_value,last_updated,status
"Amazon versus Walmart versus Target","retail-versus-marketplace boundary","Amazon","retail-plus-interface hybrid","1 of 3","ecosystem monetization and interface thickness outrun plain merchanting","reuse when mass retail starts to widen into marketplace media membership and fulfillment ecosystems",2026-08-10,in-progress
"Amazon versus Walmart versus Target","retail-versus-marketplace boundary","Target","retail-first with lighter and more repair-dependent widening","3 of 3","second layer is real but compensating for a weaker core retail line","reuse when a middle case is building attached economics before the core basket is fully repaired",2026-08-10,in-progress
"Amazon versus Walmart versus Target","retail-versus-marketplace boundary","Walmart","retail-first with serious ecosystem widening","2 of 3","first-party basket and merchanting still anchor the model even as the second layer gets stronger","reuse when a retailer remains inventory-led but is thickening through attached platform layers",2026-08-10,in-progress
"American Tower versus Cogent versus Viasat","hidden-connectivity-access boundary","American Tower","global tower ownership and datacenter-bridged access infrastructure","1 of 3","scarce site breadth carrier amendments and a datacenter bridge matter more than route-density carriage or orbit-heavy mobility connectivity","reuse when the key question is physical wireless access ownership rather than terrestrial route control or orbital access economics",2026-08-10,in-progress
"American Tower versus Cogent versus Viasat","hidden-connectivity-access boundary","Cogent","route-density and on-net private-connectivity infrastructure","2 of 3","on-net building access IP and optical routes and wavelength or private-network economics matter more than tower-site rent or orbit-heavy terminal and spectrum economics","reuse when the key question is terrestrial route-density ownership rather than wireless site rent or sovereign or mobility orbital access",2026-08-10,in-progress
"American Tower versus Cogent versus Viasat","hidden-connectivity-access boundary","Viasat","satellite-broadband mobility and sovereign-access infrastructure","3 of 3","orbital capacity terminals spectrum rights and sovereign or mobility bandwidth economics matter more than terrestrial site rent or route-density carriage","reuse when the key question is orbit-heavy access ownership rather than tower structures or terrestrial route control",2026-08-10,in-progress
"American Tower versus Crown Castle versus SBA Communications","hidden-connectivity-access boundary","American Tower","global tower ownership and datacenter-bridged access infrastructure","1 of 3","global site breadth carrier amendments and a datacenter bridge matter more than domestic simplification or pure tower-rent narrowness","reuse when the key question is broad access-layer ownership spanning wireless sites and a partial digital-capacity bridge",2026-08-10,in-progress
"American Tower versus Crown Castle versus SBA Communications","hidden-connectivity-access boundary","Crown Castle","domestic tower simplification and portfolio-reset infrastructure","2 of 3","domestic site-rental clarity and portfolio simplification matter more than global breadth or pure-play tower-rent narrowness","reuse when the key question is how a connectivity owner becomes more legible by narrowing to a simpler tower cash-flow story",2026-08-10,in-progress
"American Tower versus Crown Castle versus SBA Communications","hidden-connectivity-access boundary","SBA Communications","pure-play tower-rent infrastructure","3 of 3","tower-only rent long-duration land control and low-incremental-cost colocations matter more than datacenter bridging or restructuring-led simplification","reuse when the key question is the cleanest recurring-rent exposure to the wireless access layer",2026-08-10,in-progress
"Apple versus Netflix versus Roblox","platform-and-ecosystem boundary","Apple","installed-base and device-ecosystem lock-in system","1 of 3","installed base operating-system control and services attachment make the recurring relationship stronger than a single device sale","reuse when the key question is whether a platform is built on operating-system lock-in rather than paid attention or creator participation",2026-08-10,in-progress
