system_family,infrastructure_subtype,company_name,ticker,sector,industry,company_packet_path,what_layer_it_controls,main_end_market_exposure,recurring_pressure_type,physical_embedding_level,main_operating_constraint,main_open_extension,last_updated,status
"Behind-the-shelf consumer infrastructure","Consumer-packaging middleware","Graphic Packaging Holding Company",GPK,"Consumer Goods","Packaging & Containers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/packaging-containers/graphic-packaging-holding-company/company-packet.md","paperboard cartons trays carriers cups bowls and packaging-format conversion between basic materials and branded consumer demand","food beverage foodservice household beauty and health-care packaging channels","affordability pressure customer mix cost actions and capital-discipline recovery","high","cost takeout capital intensity and footprint optimization","compare more directly against Clearwater Paper on packaging substrate versus converted-packaging middleware",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Broader packaging-format and container-control infrastructure","Sonoco Products Co.",SON,"Consumer Goods","Packaging & Containers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/packaging-containers/sonoco-products-co/company-packet.md","multi-format packaging control across metal packaging rigid paper containers paper cans protective formats and industrial packaging relationships","food beverage household industrial and global branded-packaging demand","packaging-volume mix price-cost balance portfolio simplification and acquisition-integration discipline","high","portfolio reshaping leverage discipline and uneven segment demand","compare against Graphic Packaging and Clearwater Paper on carton conversion and SBS substrate versus wider packaging-format control",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Packaging-interface and dispensing-component control infrastructure","AptarGroup, Inc.",ATR,"Consumer Goods","Packaging & Containers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/packaging-containers/aptar-group-inc/company-packet.md","dispensing dosing sealing protection closures pumps sprays valves elastomeric drug-delivery components and active material solutions embedded between packaged product and user behavior","pharmaceutical beauty food beverage personal care home care consumer healthcare injectables and prestige fragrance demand","health-adjacent dosing trust product-interface convenience consumer dispensing demand regulatory qualification and customer launch timing","high","regulated clean-room execution customer qualification cycles product mix emergency-medicine destocking raw-material and supplier exposure and IP protection","compare against Graphic Packaging Sonoco Clearwater Paper and International Paper on conversion format control substrate throughput versus dispensing-and-dosing interface control",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Rigid-container and closure-control infrastructure","Silgan Holdings Inc.",SLGN,"Consumer Goods","Packaging & Containers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/packaging-containers/silgan-holdings-inc/company-packet.md","rigid packaging control across dispensing and specialty closures metal food containers and custom rigid containers for essential consumer-goods throughput","food beverage pet food beauty fragrance home care and other staple packaged-goods demand","raw-material pass-through acquisition integration volume-mix in dispensing and pet food free-cash-flow discipline and manufacturing efficiency","high","mix management cost pass-through and balancing closure growth with staple-can stability","compare against Sonoco and AptarGroup on broader format control versus dispensing-interface control versus rigid-container and closure concentration",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","North America corrugated and containerboard throughput peer infrastructure","Packaging Corporation of America",PKG,"Consumer Goods","Packaging & Containers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/packaging-containers/packaging-corporation-of-america/company-packet.md","containerboard mills corrugated products plants sheet feeders and North American box-throughput capacity with direct exposure to corrugated shipments price realization and mill utilization","shipping volume retail replenishment food beverage produce industrial and household goods movement and broad corrugated box demand","corrugated volume mix containerboard pricing freight recycled fiber outage timing Greif integration and inventory discipline","high","mill uptime corrugated demand support capacity utilization and acquisition integration","compare directly against International Paper on broader restructuring-heavy corrugated scale versus tighter North American corrugated-throughput peer density",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Embedded hygiene water and compliance-service infrastructure","Ecolab Inc.",ECL,"Basic Materials","Specialty Chemicals","/home/manishmehta/ui-projects/annual-report-research/extracted/basic-materials/specialty-chemicals/ecolab-inc/company-packet.md","institutional sanitation foodservice cleaning water treatment infection prevention pest-elimination contamination-control and service-led compliance workflows embedded inside customer operations","hospitality restaurants food and beverage plants hospitals food retail industrial water microelectronics bioprocessing and data-center-adjacent cooling or water demand","commodity inflation pricing discipline field-service execution acquisition integration contamination-control demand and digitally connected monitoring","high","service-network execution pricing-cost offset and integration of newer water and cooling assets","compare against CECO and Veralto on engineered environmental hardware versus embedded quality-and-water workflows versus service-led hygiene-and-compliance embedment",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Environmental route-density and compliance infrastructure","Waste Management, Inc.",WM,"Industrial Goods","Waste Management","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/waste-management/waste-management-inc/company-packet.md","collection disposal recycling RNG and healthcare-waste compliance inside a route-based local-service network","municipal commercial industrial and healthcare waste streams","pricing discipline route density sustainability-project output and healthcare integration","high","service execution labor availability and capital deployment into sustainability projects","compare against Graphic Packaging and CECO on service-density infrastructure versus plant-embedded equipment layers",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Route-density environmental-services scale-peer infrastructure","Republic Services, Inc.",RSG,"Industrial Goods","Waste Management","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/waste-management/republic-services-inc/company-packet.md","dense recurring waste recycling landfill and environmental-services network with pricing discipline acquisition roll-in and sustainability-asset throughput","municipal commercial industrial and recycling demand across North America","pricing discipline acquisition integration recycling commodity pressure and sustainability-project scaling","high","local-service execution disciplined capital deployment and acquisition pacing","compare directly against Waste Management on scale-peer route density and against Clean Harbors on broad-network economics versus hazardous specialization",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Specialized hazardous and industrial environmental-service infrastructure","Clean Harbors, Inc.",CLH,"Industrial Goods","Waste Management","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/waste-management/clean-harbors-inc/company-packet.md","hazardous disposal emergency response remediation Safety-Kleen re-refining and industrial-service intensity beyond broad municipal route density","industrial cleanup hazardous waste environmental remediation field services and re-refined lubricant demand","hazardous-volume mix incident and project timing disposal pricing and Safety-Kleen utilization","high","disposal capacity field-service execution and hazardous-waste mix variability","compare directly against Waste Management on broad route-density cleanup versus specialized hazardous and remediation intensity",2026-08-10,in-progress
"Behind-the-shelf consumer infrastructure","Regional-density waste and resource-solutions infrastructure","Casella Waste Systems, Inc.",CWST,"Industrial Goods","Waste Management","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/waste-management/casella-waste-systems-inc/company-packet.md","regional solid-waste collection disposal transfer recycling organics landfill and resource-solutions density across concentrated northeastern and mid-atlantic local markets","municipal commercial industrial institutional recycling organics and regional landfill demand across the eastern United States","pricing discipline landfill-volume support acquisition integration route optimization resource-solutions mix and environmental-compliance cost pressure","high","regional-density execution local-market integration landfill economics and balancing pricing with route and recycling performance","compare against Waste Management Republic Services and Clean Harbors on national scale versus regional-density concentration versus hazardous specialization",2026-08-10,in-progress
